region_id,Region,district_id,District,Total_Pop_2017,Estimated_under_5,Estimated_PLW,Prevalence_SAM_perc,Prevalence_GAM_perc,ECE_SAM,ECE_GAM,SAM_est,GAM_est
R1720066,Sool,R1720120,Laas Caanood,170114.67,30620.6406,8505.7335,0.022,0.144,1751.500642,11464.36784,1752,11464
R1720066,Sool,R1720135,Taleex,57175.47,10291.5846,2858.7735,0.022,0.144,588.6786391,3853.169274,589,3853
R1720066,Sool,R1720140,Xudun,42361.515,7625.0727,2118.07575,0.022,0.144,436.1541584,2854.827219,436,2855
R1720067,Togdheer,R1720086,Burco,534884.895,96279.2811,26744.24475,0.01,0.086,3129.076636,21528.04725,3129,21528
R1720067,Togdheer,R1720088,Buuhoodle,71317.71,12837.1878,3565.8855,0.01,0.086,333.7668828,2870.395192,334,2870
R1720067,Togdheer,R1720126,Owdweyne,78004.845,14040.8721,3900.24225,0.01,0.086,365.0626746,3139.539002,365,3140
R1720067,Togdheer,R1720134,Sheikh,62404.29,11232.7722,3120.2145,0.01,0.086,292.0520772,2511.647864,292,2512
R1720068,Woqooyi Galbeed,R1720081,Berbera,111510.9,20071.962,5575.545,0.014,0.107,730.6194168,5584.019828,731,5584
R1720068,Woqooyi Galbeed,R1720105,Gebiley,146038.5,26286.93,7301.925,0.014,0.107,956.844252,7313.023926,957,7313
R1720068,Woqooyi Galbeed,R1720110,Hargeysa,1027923.705,185026.2669,51396.18525,0.014,0.107,6734.956115,51474.30745,6735,51474
