region_name,region_osm_id,district_name,osm_name,district_osm_id,population_LZ,ipc_stressed,ipc_crisis,ipc_emergency,ipc_catastrophic,ipc_3_4,pop_3_4,osm_id,district_name,longitude,latitude,label
Woqooyi Galbeed,R1720068,Gebiley,Gabiley,R1720105,106914,27987,9624,0,0,9624,0.09,R1720105,Gebiley,43.683092,9.863599,
Mudug,R1720063,Galdogob,Galdogob,R1720106,79595,8386,27049,0,0,27049,0.34,R1720106,Galdogob,47.220514,7.037603,
Mudug,R1720063,Gaalkacyo,Gaalkacyo,R1720107,389194,71033,152853,463,0,153316,0.39,R1720107,Gaalkacyo,47.686733,6.933966,
Gedo,R1720057,Garbahaarey,Garbahaarey,R1720108,76953,23502,11460,0,0,11460,0.15,R1720108,Garbahaarey,42.358219,3.204441,
Nugaal,R1720064,Garoowe,Garowe,R1720109,246702,55617,48802,20899,0,69701,0.28,R1720109,Garoowe,48.785342,8.46933,
Woqooyi Galbeed,R1720068,Hargeysa,Hargeysa,R1720110,959081,357317,85215,4752,0,89967,0.09,R1720110,Hargeysa,44.280306,9.523691,
Mudug,R1720063,Hobyo,Hobyo,R1720111,115222,15484,52326,2490,0,54816,0.48,R1720111,Hobyo,48.29975,5.940675,
Bari,R1720054,Iskushuban,Iskushuban,R1720112,58416,13692,12822,5548,0,18370,0.31,R1720112,Iskushuban,50.642708,10.568112,
Hiraan,R1720058,Jalalaqsi,Jalalaqsi,R1720113,147188,18303,49431,4023,0,53454,0.36,R1720113,Jalalaqsi,45.609833,3.401202,
Juba Hoose (Lower),R1720059,Jamaame,Jamaame,R1720114,97911,19435,29602,0,0,29602,0.3,R1720114,Jamaame,42.800214,0.122494,
Mudug,R1720063,Jariiban,Jariiban,R1720115,81890,10000,30669,0,0,30669,0.37,R1720115,Jariiban,49.072169,7.131767,
Juba Dhexe (Middle),R1720061,Jilib,Jilib,R1720116,174820,41020,38104,0,0,38104,0.22,R1720116,Jilib,43.127817,0.60366,
Shabelle Dhexe (Middle),R1720062,Jowhar,Jowhar,R1720117,179098,52919,19328,0,0,19328,0.11,R1720117,Jowhar,45.567109,2.991795,
Juba Hoose (Lower),R1720059,Kismaayo,Kismaayo,R1720118,162733,43120,21616,80,0,21696,0.13,R1720118,Kismaayo,42.00762,-0.382742,
Shabelle Hoose (Lower),R1720060,Kurtunwaarey,Kurtunwaarey,R1720119,262317,59192,57290,3710,0,61000,0.23,R1720119,Kurtunwaarey,44.06601,1.672912,
Sool,R1720066,Laas Caanood,Laas Caanood,R1720120,156438,45600,34330,8609,0,42939,0.27,R1720120,Laas Caanood,47.635677,8.437505,
Sanaag,R1720065,Laasqoray,Laasqoray,R1720121,238855,67718,40760,32427,0,73187,0.31,R1720121,Laasqoray,48.648033,10.659645,
Awdal,R1720051,Lughaye,Lughaye,R1720122,100819,19637,30066,6150,0,36216,0.36,R1720122,Lughaye,43.684103,10.701051,
Gedo,R1720057,Luuq,Luuq,R1720123,69660,25061,12064,0,0,12064,0.17,R1720123,Luuq,42.696639,3.791851,
Shabelle Hoose (Lower),R1720060,Marka,Marka,R1720124,198301,65902,43225,1507,0,44732,0.23,R1720124,Marka,44.811973,1.680683,
Banadir,R1720053,Banadir,Mogadishu,R1720125,1650228,557848,297598,14402,0,312000,0.19,R1720125,Banadir,45.481149,2.025584,
Togdheer,R1720067,Owdweyne,Owdweyne,R1720126,101358,18997,34038,0,0,34038,0.34,R1720126,Owdweyne,45.010079,9.258127,
Bari,R1720054,Qandala,Qandala,R1720127,52111,12045,12234,1020,0,13254,0.25,R1720127,Qandala,50.057147,11.16983,
Bay,R1720055,Qansax Dheere,Qansax Dheere,R1720128,104373,27043,22464,22083,0,44547,0.43,R1720128,Qansax Dheere,42.839191,2.813538,
Bari,R1720054,Qardho,Qardho,R1720129,85588,25447,16836,7018,0,23854,0.28,R1720129,Qardho,49.506593,9.501121,
Shabelle Hoose (Lower),R1720060,Qoryooley,Qoryooley,R1720130,292394,77926,46725,0,0,46725,0.16,R1720130,Qoryooley,44.448483,1.932884,
Juba Dhexe (Middle),R1720061,Saakow,Saakow,R1720132,79116,19595,18677,0,0,18677,0.24,R1720132,Saakow,42.061841,1.626927,
Shabelle Hoose (Lower),R1720060,Sablaale,Sablaale,R1720133,23447,6563,3626,56,0,3682,0.16,R1720133,Sablaale,43.519612,1.381542,
Togdheer,R1720067,Sheikh,Sheikh,R1720134,75904,21765,9376,0,0,9376,0.12,R1720134,Sheikh,45.428162,9.991514,
Sool,R1720066,Taleex,Taleex,R1720135,73529,20080,13687,13489,0,27176,0.37,R1720135,Taleex,48.540175,9.178455,
Bakool,R1720052,Tayeeglow,Tayeeglow,R1720136,73675,18981,18081,8408,0,26489,0.36,R1720136,Tayeeglow,44.528116,3.834438,
Bakool,R1720052,Waajid,Waajid,R1720137,125521,18771,40886,23521,0,64407,0.51,R1720137,Waajid,43.431922,3.814949,
Shabelle Hoose (Lower),R1720060,Wanla Weyn,Wanla Weyn,R1720138,113035,39905,6794,0,0,6794,0.06,R1720138,Wanla Weyn,44.905508,2.790051,
Mudug,R1720063,Xarardheere,Xarardheere,R1720139,51961,7014,20598,889,0,21487,0.41,R1720139,Xarardheere,47.929811,4.747482,
Sool,R1720066,Xudun,Xudun,R1720140,38380,11013,6825,6083,0,12908,0.34,R1720140,Xudun,47.50645,9.140633,
Bakool,R1720052,Xudur,Xudur,R1720141,108902,17881,32909,21247,0,54156,0.5,R1720141,Xudur,43.905277,4.187439,
Awdal,R1720051,Zeylac,Zeylac,R1720142,76951,11409,24834,5094,0,29928,0.39,R1720142,Zeylac,43.290515,11.034366,
