period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
March,HEAL ,Ceel Afweyn,GOD-DHEERE - Settlement,WFP5225,10.15957,47.04716,TSFP_PLW,0,0,0,0,0,0,0,0,0,39,0,0,39,0,0,0
March,HIDIG,Ceel Barde,Abesale - Settlement,WFP526,4.90445,44.5206,TSFP_PLW,9,0,2,0,5,0,2,2,0,70,11,9,72,56,22,0
March,Mercy USA,Buuhoodle,Banyaal - TSFP,WFP53,8.36836,46.53861,TSFP_PLW,53,0,0,0,0,0,0,0,0,0,53,0,53,0,0,0
March,WVI,Dan Gorayo,Baqbaq - TSFP,WFP54,7.82861,49.488331,TSFP_PLW,13,0,0,0,12,0,1,0,0,100,13,13,100,92,8,0
March,Mercy USA,Cabudwaaq,Abudwaq - Settlement,WFP556,6.24187,46.22592,TSFP_PLW,20,0,0,0,18,0,0,0,0,497,20,18,499,100,0,0
March,HADO,Caluula,Bareeda - TSFP,WFP56,11.8702,51.05796,TSFP_PLW,122,0,0,0,0,0,0,0,0,28,122,0,150,0,0,0
March,SCF,BeletWeyne,Hawotako - Settlement,WFP5766,4.742113,45.214151,TSFP_PLW,34,0,0,0,50,0,0,0,0,600,34,50,584,100,0,0
March,RAAS,Garbahaarey/Buur Dhuubo,Hillamarer - Settlement,WFP5803,3.22728,42.49406,TSFP_PLW,55,0,0,0,0,0,0,0,0,0,55,0,55,0,0,0
March,EPHCO,Ceel Barde,Hiirey  - Settlement,WFP5845,4.80724,43.712,TSFP_PLW,5,0,0,0,0,0,0,0,0,54,5,0,59,0,0,0
March,WVI,Eyl,Badey - TSFP,WFP59,7.98566,49.83521,TSFP_PLW,13,0,0,0,9,0,0,0,0,34,13,9,38,100,0,0
March,HEAL ,CeelAfweyn,HULUL - Settlement,WFP5944,9.97111,46.70073,TSFP_PLW,209,0,0,0,0,0,0,0,0,225,209,0,434,0,0,0
March,SCI,Borama,Idhan - Settlement,WFP6002,9.69256,43.30208,TSFP_PLW,19,0,0,0,4,0,0,0,0,223,19,4,238,100,0,0
March,HPA,Berbera,Jamalaaye - Settlement,WFP6188,10.4427,45.02152,TSFP_PLW,55,0,2,0,33,0,1,0,0,160,57,34,183,97,3,0
March,WVI,Belet Xaawo,Belethawa Township - TSFP,WFP62,3.78074,41.89431,TSFP_PLW,10,0,0,0,9,0,0,0,0,70,10,9,71,100,0,0
March,WVI,Garowe,B.dheer - TSFP,WFP67,8.25639,48.305828,TSFP_PLW,43,0,0,0,0,0,0,0,0,20,43,0,63,0,0,0
March,WVI,Baydhaba/Bardaale,Kormeri - Settlement,WFP6717,2.25289,42.29159,TSFP_PLW,10,0,0,0,11,0,0,1,0,53,10,12,51,92,0,0
March,HEAL ,CeelAfweyn,BIXINKA  - TSFP,WFP69,10.113809,47.086639,TSFP_PLW,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0
March,HPA,Berbera,Laasciidle  - Settlement,WFP6917,10.176004,45.985151,TSFP_PLW,49,0,1,0,9,0,1,0,0,292,50,10,332,90,10,0
March,DHO,Diinsoor,Lama warood - Settlement,WFP7022,2.51773,42.9721,TSFP_PLW,7,0,0,0,13,0,2,0,0,26,7,15,18,87,13,0
March,Swisso-Kalmo,Dhuusamarreeb,Bohol - TSFP,WFP72,5.74731,46.22785,TSFP_PLW,9,0,0,0,9,0,0,0,0,37,9,9,37,100,0,0
March,RAAS,Garbahaarey/Buur Dhuubo,Malkadida - Settlement,WFP7401,3.339,42.47833,TSFP_PLW,86,0,0,0,0,0,0,0,0,0,86,0,86,0,0,0
March,Mercy USA,Laas Caanood,Boocame - MCHN,WFP75,8.396344,47.935664,TSFP_PLW,89,0,0,0,0,0,0,0,0,0,89,0,89,0,0,0
March,HEAL ,Ceerigaabo,MAYDH - Settlement,WFP7577,10.988259,47.109128,TSFP_PLW,23,0,0,0,0,0,0,0,0,69,23,0,92,0,0,0
March,Mercy USA,Hobyo,Hobyo town  - TSFP,WFP77,5.34743,48.5262,TSFP_PLW,29,0,0,0,11,0,0,0,0,490,29,11,508,100,0,0
March,WVI,Luuq,Airport Area - TSFP,WFP8,3.806398,42.547561,TSFP_PLW,32,0,0,0,0,0,0,0,0,50,32,0,82,0,0,0
March,SDRO,Gaalkacyo,Qarqoora  - Settlement,WFP8152,6.74718,47.69378,TSFP_PLW,2,0,0,0,2,0,0,0,0,20,2,2,20,100,0,0
March,WVI,Belet Xaawo,Buniyo - TSFP,WFP82,3.5444,41.85122,TSFP_PLW,3,0,0,0,4,0,0,0,0,20,3,4,19,100,0,0
March,SCI,Borama,Quljed - Settlement,WFP8291,10.09149,43.00922,TSFP_PLW,28,0,0,0,4,0,0,0,0,240,28,4,264,100,0,0
March,HIDIG,Ceel Barde,Quracjome - Settlement,WFP8310,4.9439,44.30128,TSFP_PLW,10,0,2,0,10,0,1,0,0,120,12,11,121,91,9,0
March,EPHCO,Ceel Barde,Aato - Settlement,WFP832,4.6205,43.350201,TSFP_PLW,5,0,0,0,0,0,0,0,0,50,5,0,55,0,0,0
March,Mercy USA,Hargeysa,Sabawanag - Settlement,WFP8568,9.04489,44.58108,TSFP_PLW,62,0,46,0,383,0,0,0,0,367,108,383,92,100,0,0
March,SDO,Galdogob,BURSAALAX - TSFP,WFP86,7.17457,47.24316,TSFP_PLW,103,0,0,0,0,0,0,0,0,130,103,0,233,0,0,0
March,EPHCO,Ceel Barde,Salkudhooble  - Settlement,WFP8632,4.90952,43.99175,TSFP_PLW,6,0,0,0,0,0,0,0,0,54,6,0,60,0,0,0
March,Swisso-Kalmo,Dhuusamarreeb,Shalaqben - Settlement,WFP8786,5.26156,45.765,TSFP_PLW,31,0,0,0,10,0,0,0,0,45,31,10,66,100,0,0
March,RAWA,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_PLW,49,0,0,0,47,0,5,8,0,168,49,60,157,78,8,0
March,HRDO,Cadaado,Bahdo - TSFP,WFP93,5.78938,47.2258,TSFP_PLW,31,0,0,0,0,0,0,0,0,727,31,0,758,0,0,0
March,WVI,Gebiley,Wajaale - Settlement,WFP9432,9.60272,43.33481,TSFP_PLW,25,0,0,0,22,0,0,0,0,93,25,22,96,100,0,0
March,HRDO,Cadaado,Cadaado - TSFP,WFP95,6.131423,46.625464,TSFP_PLW,49,0,0,0,15,0,0,0,0,831,49,15,865,100,0,0
March,SHARDO,Cadale,Cadale - TSFP,WFP96,2.7568,46.319,TSFP_PLW,88,0,0,0,171,0,0,0,0,162,88,171,79,100,0,0
