district,district_id,intervention,target_per_HH,reached_per_HH,percent_target
Baydhaba,R1720074,UCT First Contribution,278,186,67
Belet Weyne,R1720079,UCT First Contribution,309,206,67
Bulo Burto,R1720085,UCT First Contribution,316,210,67
Buur Hakaba,R1720089,UCT First Contribution,279,186,67
Jalalaqsi,R1720113,UCT First Contribution,312,208,67
Waajid,R1720137,UCT First Contribution,237,158,67
Xudur,R1720141,UCT First Contribution,237,158,67
