district_id,district,live,dead,cfr
R1720070,Afgooye,671,0,0.0
R1720072,Baardheere,1174,10,0.9
R1720074,Aliyow Munim,13092,182,1.4
R1720076,Balcad,718,2,0.3
R1720079,Belet Weyne,340,2,0.6
R1720083,Bossaso,641,5,0.8
R1720085,Bulo Burto,10,0,0.0
R1720087,Burtinle,931,6,0.6
R1720088,Buuhoodle,3766,69,1.8
R1720089,Buur Hakaba,908,24,2.6
R1720090,Balanbale,1809,11,0.6
R1720091,Cadaado,819,7,0.9
R1720095,Ceel Afweyn,1137,16,1.4
R1720096,Ceel Barde,382,8,2.1
R1720098,Ceel Dheer,85,0,0.0
R1720100,Dhuusamarreeb,1269,4,0.3
R1720101,Diinsoor,425,1,0.2
R1720102,Doolow,1427,0,0.0
R1720104,Eyl,74,0,0.0
R1720106,Galdogob,541,6,1.1
R1720107,Gaalkacyo,1681,10,0.6
R1720108,Burdhubo,1706,14,0.8
R1720109,Dangorayo,1471,24,1.6
R1720112,Iskushuban,1,0,0.0
R1720113,Jalalaqsi,21,1,4.8
R1720115,Jariiban,463,1,0.2
R1720117,Jowhar,1710,21,1.2
R1720118,Kismaayo,2925,15,0.5
R1720119,Kurtunwaarey,175,0,0.0
R1720120,Bo'ame,725,0,0.0
R1720123,Dhamasa,1315,29,2.2
R1720124,Hantiwadag,2163,31,1.4
R1720125,Banadir,6619,119,1.8
R1720128,Qansax Dheere,488,7,1.4
R1720129,Qardho,1111,5,0.5
R1720130,Madulow,926,13,1.4
R1720135,Taleex,692,7,1.0
R1720136,Tayeeglow,236,17,7.2
R1720137,Waajid,2309,113,4.9
R1720138,Beletamin ,1579,18,1.1
R1720141,Aboore,953,18,1.9
