region,region_id,cases
Nugaal,R1720064,17
Bari,R1720054,78
Mudug,R1720063,226
Woqooyi Galbeed,R1720068,123
Sahil,,300
Sanaag,R1720065,12
Sool,R1720066,336
Awdal,R1720051,12
Togdheer,R1720067,802
Shabelle Dhexe,R1720062,165
Hiraan,R1720058,306
Galgaduud,R1720056,208
Banadir,R1720053,1220
Shabelle Hoose,R1720060,457
Juba Dhexe,R1720061,12
Bakool,R1720052,0
Gedo,R1720057,12
Bay,R1720055,82
Juba Hoose,R1720059,131
