GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,period,EVENT_DATE,year,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
520,4687RTA,,April 2017,4/4/17,2017,1,Battle-No change of territory,Police Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Somalia,Gedo,Dolow,,Geedweyne,4.03035,42.29398,1,Local Source Project,Al Shabaab attacked Gedweyne village (c. 35 km from Dollow on the road to Luuq District). Al Shabaab drove into the village in a Toyota Prado and attacked the police post. There was an exchange of gunfire between AS and local police after which AS retreated. One police officer reported injured. ,0
520,4688RTA,,April 2017,4/4/17,2017,1,Battle-No change of territory,Abgal-Celi Sub-Clan Militia (Somalia),,4,Jareer-Weyne Sub-Clan Militia (Somalia),,4,44,Somalia,Shabeellaha Dhexe,Balcad,,Jameeco Misra,2.5721,45.4953,1,Local Source Project,Two clan militiamen from Celi Cumar-sub clan of Abgal tribe and Jareer weyne minority clan disputed over a farm at Jameeco Misro village near Xawadley in Balcad district. Two people were killed and two others were injured. Various houses in Kulmis Yarow and Maqdas villages were burnt.,2
520,4689RTA,,April 2017,4/4/17,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Somalia,Shabeellaha Hoose,Marka,,Shalaambood,1.7087,44.69605,1,Local Source Project,Al Shabaab fighters attacked an SNA checkpoint at Shalanbod neighbourhood in Marka district. There was an exchange of gunfire after which AS withdrew. There were no reports of casualties.,0
520,4690RTA,,April 2017,5/4/17,2017,1,Violence against civilians,Al Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Hiiraan,Belet Weyne,,Belet Weyne,4.73598,45.20427,1,Local Source Project,Suspected al Shabaab kidnapped five Somali veterinarians in Belet Weyne. ,0
520,4691RTA,,April 2017,5/4/17,2017,1,Violence against civilians,Al Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Banaadir,Mogadisho,,Bondhere,2.04555,45.34,1,Local Source Project,"A VBIED detonated at a restaurant near the Ministry of Internal security. At least eight deaths reported. Soonafter, al Shabaab claimed responsibility. Later in the day, a second explosion hit the Qatar embassy at KM-4 intersection, Hodan District injuring one civilian. ",8
520,4692RTA,,April 2017,5/4/17,2017,1,Remote violence,Military Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Somalia,Bay,Baydhabo,,Goof Guduud,3.31817,43.47315,2,Local Source Project,"An IED, planted by al Shabaab elements, prematurely exploded in an South West Police/National Army base in Goofgaduud village (c. 25 km South West of Baidoa). AS elements managed to escape. One SNA was injured in the blast. A second IED exploded on the outskirt of the town, along the road to Baidoa, but caused no causality. ",0
520,4693RTA,,April 2017,5/4/17,2017,1,Remote violence,Military Forces of Somalia (2017-),Police Forces of Somalia (2017-),1,Al Shabaab,,2,12,Somalia,Bay,Baydhabo,,Goof Guduud,3.31817,43.47315,1,Local Source Project,"An IED, planted by al Shabaab elements, prematurely exploded in an South West Police/National Army base in Goofgaduud village (c. 25 km South West of Baidoa). AS elements managed to escape. One SNA was injured in the blast. A second IED exploded on the outskirt of the town, along the road to Baidoa, but caused no causality. ",0
520,4694RTA,,April 2017,5/4/17,2017,1,Strategic development,Military Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Somalia,Bay,Baydhabo,,Goof Guduud,3.31817,43.47315,1,Local Source Project,SNA received information that al Shabaab planted an IED in a teashop frequented by SNA and South-West forces at Goofgaduud Buurey village (c. 30 km North West of Baidoa). Security forces discovered a suspicious device and arrested five suspected al Shabaab fighters in connection to the incident. They were reported to be under custody and awaiting transfer to Baidoa.,0
520,4695RTA,,April 2017,5/4/17,2017,1,Remote violence,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),,7,37,Somalia,Banaadir,Mogadisho,,Hodan,2.03333,45.35,1,Local Source Project,"A bomb explodes at the Qatar embassy at KM-4 intersection, Hodan District injuring one civilian. Perpetrators not known. ",0
520,4696RTA,,April 2017,5/4/17,2017,1,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) (Djibouti),,8,Al Shabaab,,2,28,Somalia,Hiiraan,Jalalaqsi,,Jalalaqsi,3.38342,45.59693,1,Local Source Project,Al Shabaab attack a Djibouti base at Jalalaqsi and are quickly repelled. An AMISOM spokesperson said the attackers suffered 'heavy causalities.',10
