district,district_id,intervention,target_per_HH,reached_per_HH,percent_target
Baydhaba,R1720074,CFW First Contribution ,92,92,100
Belet Weyne,R1720079,CFW First Contribution ,104,104,100
Bulo Burto,R1720085,CFW First Contribution ,104,104,100
Buur Hakaba,R1720089,CFW First Contribution ,92,92,100
Jalalaqsi,R1720113,CFW First Contribution ,104,104,100
Waajid,R1720137,CFW First Contribution ,80,80,100
Xudur,R1720141,CFW First Contribution ,80,80,100
