X,Y,osm_id,name,name_en,is_in_coun,is_in_stat,created_at,updated_at,bb,region,period,date,value
45.4811486469781,2.0255836853012,R1720053,Banadir,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.2692639999999997,1.8301890000000001,45.7253169999999969,2.1830940000000001",Banadir,week 1,1/2/2017,89
45.4811486469781,2.0255836853012,R1720053,Banadir,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.2692639999999997,1.8301890000000001,45.7253169999999969,2.1830940000000001",Banadir,week 2,1/9/2017,78
45.4811486469781,2.0255836853012,R1720053,Banadir,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.2692639999999997,1.8301890000000001,45.7253169999999969,2.1830940000000001",Banadir,week 3,1/16/2017,76
45.4811486469781,2.0255836853012,R1720053,Banadir,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.2692639999999997,1.8301890000000001,45.7253169999999969,2.1830940000000001",Banadir,week 4,1/23/2017,71
45.4811486469781,2.0255836853012,R1720053,Banadir,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.2692639999999997,1.8301890000000001,45.7253169999999969,2.1830940000000001",Banadir,week 5,1/30/2017,95
45.4811486469781,2.0255836853012,R1720053,Banadir,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.2692639999999997,1.8301890000000001,45.7253169999999969,2.1830940000000001",Banadir,week 6,2/6/2017,79
45.4811486469781,2.0255836853012,R1720053,Banadir,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.2692639999999997,1.8301890000000001,45.7253169999999969,2.1830940000000001",Banadir,week 7,2/13/2017,119
42.5927051552094,1.17773912226843,R1720061,Jubbada Dhexe,Middle Juba,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"41.4199979999999996,0.2063450000000000,43.6749399999999994,1.9500000000000000",Middle Juba,week 1,1/2/2017,0
42.5927051552094,1.17773912226843,R1720061,Jubbada Dhexe,Middle Juba,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"41.4199979999999996,0.2063450000000000,43.6749399999999994,1.9500000000000000",Middle Juba,week 2,1/9/2017,0
42.5927051552094,1.17773912226843,R1720061,Jubbada Dhexe,Middle Juba,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"41.4199979999999996,0.2063450000000000,43.6749399999999994,1.9500000000000000",Middle Juba,week 3,1/16/2017,0
42.5927051552094,1.17773912226843,R1720061,Jubbada Dhexe,Middle Juba,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"41.4199979999999996,0.2063450000000000,43.6749399999999994,1.9500000000000000",Middle Juba,week 4,1/23/2017,0
42.5927051552094,1.17773912226843,R1720061,Jubbada Dhexe,Middle Juba,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"41.4199979999999996,0.2063450000000000,43.6749399999999994,1.9500000000000000",Middle Juba,week 5,1/30/2017,2
42.5927051552094,1.17773912226843,R1720061,Jubbada Dhexe,Middle Juba,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"41.4199979999999996,0.2063450000000000,43.6749399999999994,1.9500000000000000",Middle Juba,week 6,2/6/2017,0
42.5927051552094,1.17773912226843,R1720061,Jubbada Dhexe,Middle Juba,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"41.4199979999999996,0.2063450000000000,43.6749399999999994,1.9500000000000000",Middle Juba,week 7,2/13/2017,0
43.461834769978,10.6914391072459,R1720051,Awdal,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.7087029999999999,9.6734310000000008,44.3567469999999986,11.7378180000000008",Awdal,week 1,1/2/2017,0
43.461834769978,10.6914391072459,R1720051,Awdal,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.7087029999999999,9.6734310000000008,44.3567469999999986,11.7378180000000008",Awdal,week 2,1/9/2017,1
43.461834769978,10.6914391072459,R1720051,Awdal,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.7087029999999999,9.6734310000000008,44.3567469999999986,11.7378180000000008",Awdal,week 3,1/16/2017,4
43.461834769978,10.6914391072459,R1720051,Awdal,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.7087029999999999,9.6734310000000008,44.3567469999999986,11.7378180000000008",Awdal,week 4,1/23/2017,1
43.461834769978,10.6914391072459,R1720051,Awdal,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.7087029999999999,9.6734310000000008,44.3567469999999986,11.7378180000000008",Awdal,week 5,1/30/2017,6
43.461834769978,10.6914391072459,R1720051,Awdal,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.7087029999999999,9.6734310000000008,44.3567469999999986,11.7378180000000008",Awdal,week 6,2/6/2017,0
43.461834769978,10.6914391072459,R1720051,Awdal,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.7087029999999999,9.6734310000000008,44.3567469999999986,11.7378180000000008",Awdal,week 7,2/13/2017,0
45.7257239377512,9.10833755598499,R1720067,Togdheer,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.6899990000000003,8.0007389999999994,47.0999979999999994,10.1699999999999999",Togdheer,week 1,1/2/2017,42
45.7257239377512,9.10833755598499,R1720067,Togdheer,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.6899990000000003,8.0007389999999994,47.0999979999999994,10.1699999999999999",Togdheer,week 2,1/9/2017,2
