period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,0
June,INGO,Marka,Marka - TSFP,WFP291,1.71305,44.76388,TSFP_U5,965,588,0,0,486,0,0,0,0,3247,1553,486,4314,100,0,0
June,INGO,Luuq,Caracase - Settlement,WFP2932,3.748,43.5326,TSFP_U5,7,0,2,0,12,0,0,2,0,54,9,14,49,86,0,0
June,LNGO,Xarardheere,Miliqo - TSFP,WFP300,5.11431,47.93026,TSFP_U5,69,0,0,0,64,0,6,9,4,595,69,83,581,77,7,0
June,INGO,Luuq,Miradhubow - TSFP,WFP301,3.91996,42.53777,TSFP_U5,63,0,0,0,18,0,0,0,0,168,63,18,213,100,0,0
June,INGO,Dhuusamarreeb,Mirig - TSFP,WFP302,5.66243,46.42292,TSFP_U5,15,0,0,0,27,0,0,0,0,107,15,27,95,100,0,0
June,INGO,Cabudwaaq,Balanbale - TSFP,WFP303,5.68895,45.96932,TSFP_U5,35,0,0,0,35,0,0,0,0,1201,35,35,1201,100,0,0
June,LNGO,Caluula,Muudiye - TSFP,WFP307,11.35455,50.67907,TSFP_U5,18,0,0,0,41,0,0,0,0,600,18,41,577,100,0,0
June,INGO,Garoowe,Oman - TSFP,WFP312,8.25783,48.292,TSFP_U5,45,0,0,0,10,0,0,0,0,35,45,10,70,100,0,0
June,INGO,Buuhoodle,Qararo - TSFP,WFP318,8.16935,46.50269,TSFP_U5,4,0,0,0,0,0,0,0,0,50,4,0,54,0,0,0
June,INGO,Garoowe,Ballay - TSFP,WFP32,8.50515,48.60205,TSFP_U5,61,0,0,0,21,0,0,0,0,25,61,21,65,100,0,0
June,LNGO,Qardho,Qardho - TSFP,WFP320,9.50694,49.086079,TSFP_U5,12,0,0,0,580,0,0,0,0,7000,12,580,6432,100,0,0
June,INGO,Eyl,Qarxis - TSFP,WFP323,7.98389,48.10305,TSFP_U5,23,0,0,0,20,0,0,0,0,136,23,20,139,100,0,0
June,INGO,Garoowe,Rabable - TSFP,WFP334,8.28125,48.29833,TSFP_U5,29,0,0,0,9,0,0,0,0,35,29,9,55,100,0,0
June,LNGO,Qardho,Rako - TSFP,WFP335,9.78144,49.72944,TSFP_U5,40,0,0,0,66,0,0,0,0,951,40,66,925,100,0,0
June,INGO,Laas Caanood,dabataag - Settlement,WFP3376,8.11431,47.16193,TSFP_U5,0,0,0,0,0,0,0,0,0,47,0,0,47,0,0,0
June,INGO,Doolow,Seydhumay - TSFP,WFP339,4.1276,42.25621,TSFP_U5,3,0,0,0,73,0,0,19,0,203,3,92,114,79,0,0
June,LNGO,Gaalkacyo,Sadex higlo - TSFP,WFP342,6.49897,47.1122,TSFP_U5,41,0,0,0,8,0,0,0,0,112,41,8,145,100,0,0
June,INGO,Buuhoodle,Sarmaantuke - TSFP,WFP347,8.32738,46.48082,TSFP_U5,0,0,0,0,0,0,0,0,0,63,0,0,63,0,0,0
June,INGO,Taleex,Sarmaanyo - MCHN,WFP348,9.48895,47.99372,TSFP_U5,0,0,0,0,0,0,0,0,0,87,0,0,87,0,0,0
June,LNGO,Jariiban,SEEMADE - TSFP,WFP349,7.15579,48.60975,TSFP_U5,0,0,0,0,0,0,0,0,0,505,0,0,505,0,0,0
