period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
June,WVI,Hargeisa,Salahlaye - Settlement,WFP8622,9.02686,44.20228,TSFP_PLW,10,0,0,0,3,0,0,0,0,130,10,3,137,100,0
June,EPHCO ,Ceel Barde,Salkudhooble  - Settlement,WFP8632,4.90952,43.99175,TSFP_PLW,13,0,0,0,0,0,0,0,0,11,13,0,24,0,0
June,Swisso-Kalom,Dhuusamarreeb,Shalaqben - Settlement,WFP8786,5.26156,45.765,TSFP_PLW,9,0,0,0,12,0,0,0,0,68,9,12,65,100,0
June,RAWA,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_PLW,67,0,0,0,52,0,5,7,0,261,67,64,264,81,8
June,WVI,Dan Gorayo,Suuj - Settlement,WFP9044,8.68593,50.36265,TSFP_PLW,9,0,0,0,8,0,0,0,0,25,9,8,26,100,0
June,HPA,Berbera,Suuqsade - Settlement,WFP9050,9.94136,45.330108,TSFP_PLW,28,0,0,0,11,0,0,0,0,159,28,11,176,100,0
June,SDRA,Gaalkacyo,Tawakal - Settlement,WFP9092,4.88902,45.04633,TSFP_PLW,29,0,0,0,41,0,0,0,0,216,29,41,204,100,0
June,HRDO,Cadaado,Bahdo - TSFP,WFP93,5.78938,47.2258,TSFP_PLW,48,0,0,0,78,0,0,0,0,794,48,78,764,100,0
June,WVI,Dan Gorayo,Usgure - Settlement,WFP9344,7.518322,49.416017,TSFP_PLW,18,0,0,0,16,0,1,1,0,125,18,18,125,89,6
June,WVI,Doolow,Unsi - Settlement,WFP9355,4.03703,41.95665,TSFP_PLW,11,0,0,0,28,0,0,6,0,35,11,34,12,82,0
June,HRDO,Cadaado,Wad - Settlement,WFP9409,8.872857,46.929618,TSFP_PLW,12,0,0,0,29,0,0,0,0,112,12,29,95,100,0
June,WVI,Gebiley,Wajaale - Settlement,WFP9432,9.60272,43.33481,TSFP_PLW,6,0,0,0,4,0,0,0,0,61,6,4,63,100,0
June,WARDI,Wanla Weyn,Wanle weyn - District Capital,WFP9461,2.61945,44.89357,TSFP_PLW,837,0,0,0,12,0,0,0,0,2033,837,12,2858,100,0
June,HRDO,Cadaado,Cadaado - TSFP,WFP95,6.131423,46.625464,TSFP_PLW,78,0,0,0,154,0,0,0,0,1196,78,154,1120,100,0
June,SRCS,Burco,waridaad - Settlement,WFP9589,9.28387,46.25364,TSFP_PLW,36,0,0,0,4,0,0,0,0,92,36,4,124,100,0
June,SHARDO,Cadale,CADALE - TSFP,WFP96,2.7568,46.319,TSFP_PLW,101,0,0,0,91,0,0,0,0,567,101,91,577,100,0
June,RAWA,Xarardheere,Warshubo - Settlement,WFP9623,5.132,47.432499,TSFP_PLW,44,0,0,0,52,0,5,7,0,205,44,64,185,81,8
June,DEH,Hobyo,Xinlabi - Settlement,WFP9923,5.3993,47.64737,TSFP_PLW,10,0,0,0,26,0,0,1,0,423,10,27,406,96,0
