period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
May,SRCS,Burco,OOG - Settlement,WFP7990,8.934069,46.617513,TSFP_PLW,30,0,0,0,6,0,0,0,58,30,6,82,100,0
May,WVI,Luuq,Airport Area - TSFP,WFP8,3.806398,42.547561,TSFP_PLW,11,0,0,0,29,0,0,0,91,11,29,73,100,0
May,WVI,Doolow,Qansaxley - Settlement,WFP8123,2.58504,45.00872,TSFP_PLW,3,0,0,0,13,0,0,0,34,3,13,24,100,0
May,SDRO,Gaalkacyo,Qarqoora  - Settlement,WFP8152,6.74718,47.69378,TSFP_PLW,12,0,0,0,11,0,0,0,20,12,11,21,100,0
May,SRCS,Burco,qorilugud - Settlement,WFP8245,8.552813,46.223893,TSFP_PLW,25,0,0,0,5,0,0,0,56,25,5,76,100,0
May,HPA,Burco,Qoryaale - Settlement,WFP8254,3.26912,45.69738,TSFP_PLW,49,0,0,0,12,0,2,0,138,49,14,173,86,14
May,SCI,Borama,QULJEED - Settlement,WFP8291,10.09149,43.00922,TSFP_PLW,11,0,17,0,6,0,0,0,264,28,6,286,100,0
May,WVI,Dan Gorayo,Qundhed - Settlement,WFP8300,8.89492,50.44462,TSFP_PLW,6,0,0,0,6,0,0,0,20,6,6,20,100,0
May,HIDIG,Ceel Barde,Quracjome - Settlement,WFP8310,4.9439,44.30128,TSFP_PLW,12,0,4,0,6,0,3,0,146,16,9,153,67,33
May,EPHCO,Rab Dhuure,Aato - Settlement,WFP832,4.6205,43.350201,TSFP_PLW,16,0,0,0,18,0,0,0,30,16,18,28,100,0
May,WVI,Garoowe,Rabaable - Settlement,WFP8373,7.79972,48.51722,TSFP_PLW,3,0,0,0,2,0,0,0,42,3,2,43,100,0
May,Mercy USA,Hargeisa,Sabawanag - Settlement,WFP8569,10.52959,44.13137,TSFP_PLW,24,0,0,0,7,0,0,0,89,24,7,106,100,0
May,WVI,Burtinle,Burtinle - MCHN,WFP87,7.64157,47.83103,TSFP_PLW,127,0,0,0,37,0,0,1,413,127,38,502,97,0
May,SDO,Jariiban,SEEMADE - Settlement,WFP8737,6.8771,48.6721,TSFP_PLW,52,0,105,0,45,0,2,0,113,157,47,223,96,4
May,SWISSO-Kalmo,Dhuusamarreeb,Shalaqben - Settlement,WFP8786,5.26156,45.765,TSFP_PLW,10,0,0,0,8,0,0,0,66,10,8,68,100,0
May,RAWA,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_PLW,152,0,0,0,43,0,4,6,166,152,53,265,81,8
May,WVI,Dan Gorayo,Suuj - Settlement,WFP9044,8.68593,50.36265,TSFP_PLW,7,0,0,0,7,0,0,0,25,7,7,25,100,0
May,HPA,Berbera,Suuqsade - Settlement,WFP9050,9.94136,45.330108,TSFP_PLW,21,0,1,0,9,0,1,0,166,22,10,178,90,10
May,Mercy USA,Cabudwaaq,Tawakal - Settlement,WFP9092,4.88902,45.04633,TSFP_PLW,27,0,0,0,29,0,0,0,374,27,29,372,100,0
May,HRDO,Cadaado,Bahdo - TSFP,WFP93,5.78938,47.2258,TSFP_PLW,0,0,0,0,65,0,0,0,765,0,65,700,100,0
May,WVI,Dan Gorayo,Usgure - Settlement,WFP9344,7.518322,49.416017,TSFP_PLW,19,0,0,0,17,0,1,1,130,19,19,130,89,5
