period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
May,WVI,Baydhaba/Bardaale,Towfiiq - TSFP,WFP374,3.126929,43.675404,TSFP_PLW,10,0,0,0,12,0,0,6,31,10,18,23,67,0
May,HADO,Bossaso,Ufeyn - TSFP,WFP378,10.65233,49.75337,TSFP_PLW,5,0,0,0,17,0,0,0,107,5,17,95,100,0
May,WVI,Waajid,Waajid - TSFP,WFP381,3.80925,43.247089,TSFP_PLW,50,0,0,0,95,0,0,0,192,50,95,147,100,0
May,WVI,Baydhaba/Bardaale,Wadajir 4 - TSFP,WFP384,3.149063,43.667816,TSFP_PLW,8,0,0,0,9,0,0,3,28,8,12,24,75,0
May,WVI,Hargeisa,Dhimbiryaale - Settlement,WFP3875,9.272371,44.111165,TSFP_PLW,2,0,0,0,2,0,0,0,33,2,2,33,100,0
May,HADO,Qandala,Balidhidin - TSFP,WFP39,10.87986,50.39222,TSFP_PLW,6,0,0,0,22,0,0,0,170,6,22,154,100,0
May,SHARDO,Balcad/Warsheikh,WARSHEIKH - TSFP,WFP390,2.298294,45.79799,TSFP_PLW,200,0,0,0,115,0,0,0,0,200,115,85,100,0
May,HPA,Burco,Dhoqoshay - Settlement,WFP3906,8.51362,45.718,TSFP_PLW,12,0,0,0,9,0,2,1,337,12,12,337,75,17
May,RAAS,Garbahaarey/Buur Dhuubo,Dhubaa - Settlement,WFP3909,3.08896,42.2837,TSFP_PLW,0,0,0,0,0,0,0,0,55,0,0,55,0,0
May,Mercy USA,Hobyo,Bacadweyn  - TSFP,WFP393,5.32453,47.90805,TSFP_PLW,38,0,0,0,35,0,5,0,652,38,40,650,88,13
May,SRCS,Awdal,Dilla - Settlement,WFP4025,9.77942,43.3445,TSFP_PLW,15,0,0,0,14,0,0,0,60,15,14,61,100,0
May,HRDO,Cadaado,Docoley - Settlement,WFP4054,2.57554,45.46053,TSFP_PLW,94,0,0,0,0,0,0,0,33,94,0,127,0,0
May,WVI,Garoowe,Xamur - TSFP,WFP406,8.72209,48.74333,TSFP_PLW,1,0,0,0,23,0,0,0,50,1,23,28,100,0
May,Mercy USA,Cabudwaaq,Herale - TSFP,WFP413,6.02351,45.96333,TSFP_PLW,16,0,0,0,9,0,0,0,329,16,9,336,100,0
May,DEH,Hobyo,Xinbarwaqo - TSFP,WFP417,5.1152,48.34835,TSFP_PLW,10,0,0,0,10,0,0,0,220,10,10,220,100,0
May,RAWA,Xarardheere,Dumaye - TSFP,WFP420,4.87728,47.61589,TSFP_PLW,167,0,0,0,47,0,4,6,246,167,57,356,82,7
May,HADO,Iskushuban,Xiriiro - TSFP,WFP422,9.97824,50.25085,TSFP_PLW,5,0,0,0,11,0,0,0,150,5,11,144,100,0
May,HPA,Burco,Duruqsi - Settlement,WFP4251,8.517696,45.461471,TSFP_PLW,61,0,0,0,25,4,0,1,265,61,30,296,83,0
May,WVI,Burtinle,Bahaley - TSFP,WFP434,7.60802,47.50677,TSFP_PLW,8,0,0,0,12,0,1,0,36,8,13,31,92,8
May,WVI,Baki,Baki - TSFP,WFP435,10.2736,43.48375,TSFP_PLW,10,0,0,0,10,0,0,0,80,10,10,80,100,0
May,HIDIG,Ceel Barde,Ahmed Korey - TSFP,WFP436,4.88194,44.24083,TSFP_PLW,12,0,3,0,6,0,2,2,26,15,10,31,60,20
May,WRRS,Afmadow,Afmadow - TSFP,WFP437,0.51486,42.073009,TSFP_PLW,9,0,0,0,6,0,0,10,43,9,16,36,38,0
May,SHARDO,Balcad/Warsheikh,BALCAD - TSFP,WFP438,2.649542,45.049142,TSFP_PLW,343,0,0,0,300,0,0,0,99,343,300,142,100,0
May,SWISSO-Kalmo,Dhuusamarreeb,Eldhere - Part of town,WFP4413,5.53425,46.38446,TSFP_PLW,19,0,0,0,14,0,0,0,157,19,14,162,100,0
May,WVI,Luuq,Ban-Mudule - TSFP,WFP45,3.75773,42.55694,TSFP_PLW,3,0,0,0,7,0,0,0,37,3,7,33,100,0
May,WVI,Hargeisa,Farwayne - Settlement,WFP4522,9.33158,43.67031,TSFP_PLW,20,0,0,0,0,0,0,0,80,20,0,100,0,0
May,Himilo,Kismayo,Farjano - Settlement,WFP4532,7.5654,47.79142,TSFP_PLW,50,0,0,0,2,0,0,1,227,50,3,274,67,0
May,SWISSO-Kalmo,Dhuusamarreeb,Dhusamareb town - MCHN,WFP47,5.537643,46.386698,TSFP_PLW,41,0,0,0,54,0,0,0,497,41,54,484,100,0
May,Mercy USA,Hobyo,Galbarwaqo - Settlement,WFP4757,6.127836,47.678698,TSFP_PLW,3,0,0,0,9,0,0,0,116,3,9,110,100,0
May,HEAL ,Hargeisa,ABAARSO  - Settlement,WFP479,9.602462,43.880653,TSFP_PLW,10,0,0,0,8,0,0,0,78,10,8,80,100,0
May,SDRO,Gaalkacyo,Bandiradley - TSFP,WFP48,6.47979,46.945358,TSFP_PLW,42,0,0,0,8,0,0,0,47,42,8,81,100,0
