period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
February,WVI,Eyl,Kabal - TSFP,WFP259,8.073611,49.959598,TSFP_U5,9,0,0,,0,0,0,0,0,19,15,0,7,,
February,WVI,Garoowe,Kalabayr - TSFP,WFP261,8.41278,48.486389,TSFP_U5,15,0,0,,0,0,0,0,0,0,11,4,30,,
February,WVI,Doolow,Kalagubta - TSFP,WFP263,3.933108,41.884086,TSFP_U5,0,0,0,,29,0,0,0,0,94,15,6,39,,
February,WVI,Doolow,Lebiraar - TSFP,WFP275,3.73163,41.97727,TSFP_U5,4,0,0,,37,0,0,0,0,319,34,9,95,,
February,WVI,Dan Gorayo,Libaaxo - TSFP,WFP276,8.59308,49.19365,TSFP_U5,37,0,0,,19,0,0,0,0,48,50,0,273,,
February,WVI,Burtinle,Magacley - TSFP,WFP283,9.0875,49.585602,TSFP_U5,47,0,0,,0,0,0,0,0,122,47,0,292,,
February,RAAS,Garbahaarey,Maganey - TSFP,WFP284,3.7095,42.52007,TSFP_U5,0,0,0,,19,0,0,6,12,119,59,0,251,,
February,WVI,Eyl,Maraya - TSFP,WFP287,8.3206,50.16414,TSFP_U5,14,0,0,,13,0,1,0,0,31,10,0,-14,,
February,SWISSO-kalmo,Dhuusamarreeb,Marergur - TSFP,WFP288,5.75047,46.51312,TSFP_U5,28,0,0,,11,0,0,0,0,97,0,0,0,,
February,SWISSO-kalmo,Marka,Marka - TSFP,WFP291,1.71305,44.76388,TSFP_U5,564,426,0,,456,0,0,0,0,2636,0,0,0,,
February,RAWA,Xarardheere,Miliqo - TSFP,WFP300,5.11431,47.93026,TSFP_U5,147,0,0,0,126,0,17,17,8,905,0,0,0,0,
February,WVI,Luuq,Miradhubow  - TSFP,WFP301,3.91996,42.53777,TSFP_U5,6,0,0,,0,0,0,0,0,170,63,26,337,,
February,SWISSO-kalmo,Dhuusamarreeb,Mirig - TSFP,WFP302,5.66243,46.42292,TSFP_U5,11,0,0,,7,0,0,0,0,33,0,0,0,,
February,Mercy USA,Cabudwaaq,Balanbale - TSFP,WFP303,5.68895,45.96932,TSFP_U5,12,0,0,,6,0,0,0,0,500,112,70,49,,
February,HADO,Caluula,Muudiye - TSFP,WFP307,11.35455,50.67907,TSFP_U5,7,0,0,,11,0,2,1,0,15,7,15,32,,
February,WVI,Doolow,Oda - TSFP,WFP309,3.984213,41.937835,TSFP_U5,26,0,0,,71,0,0,0,0,73,109,108,801,,
February,SWISSO-kalmo,Dhuusamarreeb,Olol - TSFP,WFP311,5.92195,46.23917,TSFP_U5,19,0,0,,8,0,0,0,0,40,990,456,2636,,
February,WVI,Garoowe,Oman - TSFP,WFP312,8.25783,48.292,TSFP_U5,27,0,0,,0,0,0,0,0,864,32,0,260,,
February,WVI,Garoowe,Ballay - TSFP,WFP32,8.50515,48.60205,TSFP_U5,10,0,0,,0,0,0,0,0,0,9,23,88,,
February,HADO,Qardho,Qardho - TSFP,WFP320,9.50694,49.086079,TSFP_U5,10,0,0,,0,0,0,0,0,0,47,0,169,,
February,WVI,Eyl,Qarxis - TSFP,WFP323,7.98389,48.10305,TSFP_U5,0,0,54,,0,2,1,62,2,74,55,0,367,,
February,WVI,Garoowe,Rabable - TSFP,WFP334,8.28125,48.29833,TSFP_U5,70,0,0,,0,0,0,0,0,0,7,60,369,,
February,HADO,Qardho,Rako - TSFP,WFP335,9.78144,49.72944,TSFP_U5,10,0,0,,0,0,0,0,0,0,75,0,221,,
February,WVI,Garoowe,Reemanti - TSFP,WFP336,8.40861,48.481392,TSFP_U5,55,0,0,,0,0,0,0,0,312,81,55,184,,
February,Gewdo,Garbahaarey,Seydhumay - TSFP,WFP339,4.1276,42.25621,TSFP_U5,96,0,5,,0,0,0,0,0,118,7,7,74,,
February,SORRDO,Hamarweyne,Dacarudhug - Settlement,WFP3403,9.85648,44.527473,TSFP_U5,186,25,37,0,71,0,3,9,3,476,0,0,0,0,
February,SDRO,Gaalkacyo,Sadex higlo - TSFP,WFP342,6.49897,47.1122,TSFP_U5,81,0,0,,7,0,0,0,0,180,0,0,0,,
February,SDO,Jariiban,SEEMADE - TSFP,WFP349,7.15579,48.60975,TSFP_U5,0,0,0,,0,0,0,0,0,205,130,0,803,,
February,SWISSO-kalmo,Dhuusamarreeb,Balliad - TSFP,WFP35,5.48048,46.09062,TSFP_U5,21,0,0,,8,0,0,0,0,37,0,0,0,,
February,WVI,Baidoa,Darusalaam - Settlement,WFP3565,2.11698,44.95887,TSFP_U5,246,0,0,0,181,0,0,11,0,713,232,24,677,0,
February,SHARDO ,Shibis,SHIBIS - TSFP,WFP360,2.037711,45.35,TSFP_U5,287,0,0,0,258,0,0,0,0,441,0,0,0,0,
February,SCI,Belet Weyne,Sigalow - TSFP,WFP363,4.75727,45.18898,TSFP_U5,128,0,0,,11,0,0,0,,463,1,1,223,,
February,WVI,Garoowe,Sin-ujiif - TSFP,WFP365,8.53713,48.9852,TSFP_U5,70,0,0,,0,0,0,0,0,0,7,69,173,,
February,Gewdo,Garbahaarey,Surgaduud - TSFP,WFP367,4.09584,42.02514,TSFP_U5,139,0,7,,0,0,0,0,0,40,139,30,307,,
February,Mercy USA,Cabudwaaq,Dabad - Settlement,WFP3692,6.30619,46.54925,TSFP_U5,28,0,0,,3,0,0,0,0,106,120,100,115,,
February,WVI,Baidoa,Towfiiq - TSFP,WFP374,3.126929,43.675404,TSFP_U5,112,0,7,0,54,0,0,24,0,416,99,54,629,0,
February,HADO,Bossaso,Ufeyn - TSFP,WFP378,10.65233,49.75337,TSFP_U5,37,0,0,,0,0,0,0,0,107,46,0,92,,
February,WVI,Belet Xaawo,Waaberi - MCHN,WFP380,2.047638,45.35,TSFP_U5,5,3,1,,53,0,4,1,3,391,4,0,82,,
February,WVI,Baidoa,Wadajir 4 - TSFP,WFP384,3.149063,43.667816,TSFP_U5,100,0,0,,0,0,0,0,0,0,31,24,142,,
February,WVI,Hargeisa,Dhimbiryaale - Settlement,WFP3875,9.272371,44.111165,TSFP_U5,32,0,2,,8,0,0,0,0,127,0,0,0,,
February,WVI,Eyl,Wargaduud - TSFP,WFP388,7.72972,49.06849,TSFP_U5,20,0,0,,0,0,0,0,0,0,0,0,426,,
February,HADO,Qandala,Balidhidin - TSFP,WFP39,10.87986,50.39222,TSFP_U5,229,0,14,0,86,2,1,4,0,637,20,0,122,0,
February,SHARDO ,Balcad,WARSHEIKH - TSFP,WFP390,2.298294,45.79799,TSFP_U5,120,0,0,,100,0,0,0,0,115,0,0,0,,
February,HIDIG,Ceel Barde,DHUBAA - Settlement,WFP3909,3.08896,42.2837,TSFP_U5,25,7,13,,20,0,5,7,7,150,105,89,248,,
February,HADO,Caluula,Xaabo - MCHN,WFP394,11.52195,50.52195,TSFP_U5,37,0,0,,0,0,0,0,0,107,7,16,31,,
February,WVI,Garoowe,Xamur - TSFP,WFP406,8.72209,48.74333,TSFP_U5,55,0,0,,0,0,0,0,0,312,55,0,266,,
February,DEH,Hobyo,Xinbarwaqo - TSFP,WFP417,5.1152,48.34835,TSFP_U5,53,0,0,,20,0,0,5,5,215,0,0,0,,
