district_id,district,period,target,reached,percent_target,output,instalments,partner,irf_code,ratio_instalment
R1720095,Ceel Afweyn,May,25851,47520,184,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720099,Badhan,May,119635,36840,31,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720103,Ceel Waaq,May,27755,27755,100,2,2,CWW,IRF 4 c,2 out of 2 payments completed
R1720104,Eyl,May,2800,2798,100,2,2,ACF,IRF 4 b,2 out of 2 payments completed
R1720107,Gaalkacyo,May,10850,37954,350,5,3,Cesvi,IRF 4 b,3 out of 5 payments completed
R1720109,Dangorayo,May,3500,4990,143,2,2,NRC,IRF 4 b,2 out of 2 payments completed
R1720110,Hargeysa,May,3000,3000,100,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720112,Iskushuban,May,10848,34936,322,2,N/A,DRC/ SCI,IRF 4 b IRF 4 c,N/A out of 2 payments completed
R1720120,Bo'ame,May,8498,11386,134,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720129,Qardho,May,25505,12286,48,2,2,SCI/ NRC/ DRC,IRF 4 c,2 out of 2 payments completed
R1720131,Burdhuhunle,May,4200,4200,100,2,2,ACF,IRF 4 b,2 out of 2 payments completed
R1720137,Waajid,May,5600,4800,86,5,1,ACF,IRF 4 c,1 out of 5 payments completed
R1720074,Baidoa,June,20200,20200,100,2,4,"CWW, DRC",IRF 4 c,4 out of 2 payments completed
R1720075,Baki,June,15900,15900,100,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720077,Bandar Bayla ,June,8436,8437,100,2,N/A,DRC,IRF 4 c,N/A out of 2 payments completed
R1720079,Mataban,June,57339,67206,117,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720080,Belet Hawa ,June,61649,87339,142,2,2,CWW,IRF 4 c/  IRF 4b,2 out of 2 payments completed
R1720083,Bosaso,June,2800,2800,100,2,N/A,DRC,IRF 4 c,N/A out of 2 payments completed
R1720086,Burao ,June,9408,9408,100,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720087,Burtinle,June,7866,7866,100,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720094,Caynabo,June,9474,9474,100,2,2,NRC,IRF 4 c,2 out of 2 payments completed
R1720095,Elafweyn,June,50820,47520,94,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720099,Erigravo,June,42960,58320,136,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720103,Elwaaq,June,27755,27755,100,2,2,CWW,IRF 4 c,2 out of 2 payments completed
R1720104,Eyl,June,2798,2798,100,2,2,ACF,IRF 4 b,2 out of 2 payments completed
R1720107,Galcackyo,June,37954,37954,100,2,3,"Cesvi,DRC",IRF 4 b,3 out of 2 payments completed
R1720109,Dangoriyo,June,4990,4990,100,2,2,NRC,IRF 4 b,2 out of 2 payments completed
