period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
March,RAWA,Xarardheere,Dumaye - TSFP,WFP420,4.87728,47.61589,TSFP_U5,47,0,0,,35,0,3,5,2,309,47,45,311,78,7,16
March,HADO,Iskushuban,Xiriiro - TSFP,WFP422,9.97824,50.25085,TSFP_U5,250,0,0,,0,0,0,0,0,1608,250,0,1858,0,0,0
March,WVI,Burtinle,Bahaley - TSFP,WFP434,7.60802,47.50677,TSFP_U5,14,4,0,,10,0,1,0,0,22,18,11,29,91,9,0
March,WVI,Baki,Baki - TSFP,WFP435,10.2736,43.48375,TSFP_U5,53,3,0,,18,0,0,3,0,242,56,21,277,86,0,14
March,HIDIG,Ceel Barde,Ahmed Korey - TSFP,WFP436,4.88194,44.24083,TSFP_U5,32,10,12,,15,0,4,5,3,160,54,27,187,56,15,30
March,WRRS,Afmadow,Afmadow - TSFP,WFP437,0.51486,42.073009,TSFP_U5,10,2,0,,15,0,3,0,2,496,12,20,488,75,15,10
March,WVI,Garowe,22KM - Settlement,WFP439,8.4776,48.65071,TSFP_U5,10,0,0,,0,0,0,0,0,10,10,0,20,0,0,0
March,Swisso-Kalmo,Dhuusamarreeb,Eldhere - Settlement,WFP4416,5.23121,46.45075,TSFP_U5,68,0,0,,31,0,0,0,0,120,68,31,157,100,0,0
March,WVI,Hargeysa,Farwayne - Settlement,WFP4522,9.33158,43.67031,TSFP_U5,29,2,0,,32,0,2,5,0,142,31,39,134,82,5,13
March,Mercy USA,Buuhoodle,faridhidhin  - Settlement,WFP4530,8.09201,47.99068,TSFP_U5,42,0,0,,0,0,0,0,0,,42,0,42,0,0,0
March,HIMILO,Kismayu,Farjano - Settlement,WFP4532,7.5654,47.79142,TSFP_U5,713,0,12,,751,1,6,2,3,1149,725,763,1111,98,1,1
March,Swisso-Kalmo,Dhuusamarreeb,Dhusamareb town - MCHN,WFP47,5.537643,46.386698,TSFP_U5,563,0,0,,250,0,0,0,0,297,563,250,610,100,0,0
March,HEAL ,Hargeysa,ABAARSO  - Settlement,WFP479,9.602462,43.880653,TSFP_U5,300,0,0,,0,0,1,0,0,300,300,1,599,0,100,0
March,SDRO,Gaalkacyo,Bandiradley - TSFP,WFP48,6.47979,46.945358,TSFP_U5,24,0,0,,17,0,0,0,0,204,24,17,211,100,0,0
March,HEAL ,CeelAfweyn,GAR-ADAG  - Settlement,WFP4876,9.487011,46.866926,TSFP_U5,510,0,0,,2,0,0,0,0,1149,510,2,1657,100,0,0
March,WVI,Gebiley,Gabiley - District Capital,WFP5090,9.70577,43.62497,TSFP_U5,487,5,6,,658,0,4,6,0,1288,498,668,1118,99,1,1
March,WVI,Luuq,Abdikhier - Settlement,WFP513,3.87355,42.52765,TSFP_U5,31,0,0,,88,0,1,1,0,94,31,90,35,98,1,1
March,HIDIG,Ceel Barde,Abesale - Settlement,WFP526,4.90445,44.5206,TSFP_U5,36,12,15,,15,0,4,7,3,166,63,29,200,52,14,34
March,Mercy USA,Buuhoodle,Banyaal - TSFP,WFP53,8.36836,46.53861,TSFP_U5,40,0,0,,0,0,0,0,0,,40,0,40,0,0,0
March,WVI,Dan Gorayo,Baqbaq - TSFP,WFP54,7.82861,49.488331,TSFP_U5,27,0,0,,25,0,1,1,0,80,27,27,80,93,4,4
March,HADO,Caluula,Bareeda - TSFP,WFP56,11.8702,51.05796,TSFP_U5,729,0,0,,0,0,0,0,0,122,729,0,851,0,0,0
March,RAAS,Garbahaarey/Buur Dhuubo,Hillamarer - Settlement,WFP5803,3.22728,42.49406,TSFP_U5,262,0,0,0,0,0,0,0,0,0,262,0,262,0,0,0
March,WVI,Eyl,Badey - TSFP,WFP59,7.98566,49.83521,TSFP_U5,21,0,0,,18,0,0,0,0,100,21,18,103,100,0,0
March,SCODO,Lasanod,Kalabaydh Lasanod - Settlement,WFP6482,8.242749,47.22691,TSFP_U5,212,0,0,,13,0,0,0,0,141,212,13,340,100,0,0
March,Mercy USA,Buuhoodle,Kalcad  - Settlement,WFP6515,9.17566,48.14137,TSFP_U5,48,0,0,,0,0,0,0,0,,48,0,48,0,0,0
March,Mercy USA,Buuhoodle,Karindabeyl weyn  - Settlement,WFP6564,8.113926,47.537422,TSFP_U5,60,0,0,,0,0,0,0,0,,60,0,60,0,0,0
March,Mercy USA,Buuhoodle,karingarfood  - Settlement,WFP6565,8.126692,47.754498,TSFP_U5,59,0,0,,0,0,0,0,0,,59,0,59,0,0,0
March,WVI,Garowe,B.dheer - TSFP,WFP67,8.25639,48.305828,TSFP_U5,18,0,0,,3,0,0,0,0,20,18,3,35,100,0,0
March,HEAL ,CeelAfweyn,BIXINKA  - TSFP,WFP69,10.113809,47.086639,TSFP_U5,0,0,0,,0,0,0,0,0,120,0,0,120,0,0,0
March,Mercy USA,LaasCaanood,Lasanod - Regional Capital,WFP6912,8.473575,47.354409,TSFP_U5,216,0,0,,30,6,0,7,0,240,216,43,413,70,0,16
March,DHO,Diinsoor,Lama warood - Settlement,WFP7022,2.51773,42.9721,TSFP_U5,32,0,0,,0,0,2,0,0,93,32,2,123,0,100,0
March,Swisso-Kalmo,Dhuusamarreeb,Bohol - TSFP,WFP72,5.74731,46.22785,TSFP_U5,55,0,0,,11,0,0,0,0,50,55,11,94,100,0,0
March,SCI,Daynile,Malable - Settlement,WFP7385,3.03813,43.43877,TSFP_U5,38,0,0,,0,0,0,0,0,0,38,0,38,0,0,0
March,Mercy USA,Laas Caanood,Boocame - MCHN,WFP75,8.396344,47.935664,TSFP_U5,632,0,0,,0,0,0,0,0,,632,0,632,0,0,0
March,Mercy USA,Hobyo,Hobyo town  - TSFP,WFP77,5.34743,48.5262,TSFP_U5,76,0,0,0,54,0,0,0,0,991,76,54,1013,100,0,0
March,WVI,Luuq,Airport Area - TSFP,WFP8,3.806398,42.547561,TSFP_U5,109,0,0,,0,0,0,0,0,181,109,0,290,0,0,0
March,SDRO,Gaalkacyo,Qarqoora  - Settlement,WFP8152,6.74718,47.69378,TSFP_U5,8,0,0,,8,0,0,0,0,37,8,8,37,100,0,0
