period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
April,Mercy USA,Laas Caanood,Tukaraq  - MCHN,WFP375,8.567305,47.643818,TSFP_PLW,15,0,0,0,0,0,0,0,0,51,15,0,66,0,0,0
April,Mercy USA,Buuhoodle,Dhumay  - Settlement,WFP3750,8.326738,47.062849,TSFP_PLW,0,0,0,0,0,0,0,0,0,33,0,0,33,0,0,0
April,HADO,Bossaso,Ufeyn - TSFP,WFP378,10.65233,49.75337,TSFP_PLW,7,0,0,0,16,0,0,0,0,107,7,16,98,100,0,0
April,WVI,Doolow,Unsi - TSFP,WFP379,4.02341,41.95507,TSFP_PLW,21,0,0,0,9,0,0,0,0,36,21,9,48,100,0,0
April,DHO,Diinsoor,Waaberi - MCHN,WFP380,2.047638,45.35,TSFP_PLW,23,0,0,0,46,0,0,0,0,83,23,46,60,100,0,0
April,WVI,Baydhaba/Bardaale,Wadajir 4 - TSFP,WFP384,3.149063,43.667816,TSFP_PLW,8,0,0,0,4,0,0,0,0,24,8,4,28,100,0,0
April,WVI,Hargeysa,Dhimbiryaale - Settlement,WFP3875,9.272371,44.111165,TSFP_PLW,75,0,0,0,30,0,0,0,0,37,75,30,82,100,0,0
April,WVI,Eyl,Wargaduud - TSFP,WFP388,7.72972,49.06849,TSFP_PLW,9,0,0,0,59,0,0,0,0,120,9,59,70,100,0,0
April,HADO,Qandala,Balidhidin - TSFP,WFP39,10.87986,50.39222,TSFP_PLW,10,0,0,0,21,0,0,0,0,170,10,21,159,100,0,0
April,SHARDO,Balcad/Warsheikh,WARSHEIKH - TSFP,WFP390,2.298294,45.79799,TSFP_PLW,0,0,0,0,51,0,0,0,0,166,0,51,115,100,0,0
April,HEAL ,Ceel Afweyn,DHOOMO  - Settlement,WFP3903,9.731548,47.032602,TSFP_PLW,75,0,0,0,0,0,0,0,0,0,75,0,75,0,0,0
