period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
May,HADO,Caluula,Muudiye - TSFP,WFP307,11.35455,50.67907,TSFP_U5,11,0,0,0,67,0,0,0,0,600,11,67,544,100,0
May,WVI,Belet Xaawo,Oda - TSFP,WFP309,3.984213,41.937835,TSFP_U5,19,3,2,0,14,0,0,1,2,35,24,17,42,82,0
May,SWISSO-Kalmo,Dhuusamarreeb,Olol - TSFP,WFP311,5.92195,46.23917,TSFP_U5,27,0,0,0,24,0,0,0,0,121,27,24,124,100,0
May,WVI,Garoowe,Oman - TSFP,WFP312,8.25783,48.292,TSFP_U5,8,0,0,0,8,0,0,0,0,35,8,8,35,100,0
May,HADO,Qandala,Qandala - TSFP,WFP316,11.469416,49.873322,TSFP_U5,20,0,0,0,178,0,0,0,0,1500,20,178,1342,100,0
May,Mercy USA,Hobyo,Qararow - TSFP,WFP319,5.31033,48.29483,TSFP_U5,34,0,0,0,30,0,0,0,0,218,34,30,222,100,0
May,WVI,Garoowe,Ballay - TSFP,WFP32,8.50515,48.60205,TSFP_U5,7,0,0,0,7,0,0,0,0,25,7,7,25,100,0
May,HADO,Qardho,Qardho - TSFP,WFP320,9.50694,49.086079,TSFP_U5,14,0,0,0,481,0,0,0,0,7000,14,481,6533,100,0
May,WVI,Eyl,Qarxis - TSFP,WFP323,7.98389,48.10305,TSFP_U5,20,0,0,0,17,0,0,0,0,82,20,17,85,100,0
May,Mercy USA,Hobyo,Qeydaro - TSFP,WFP326,5.78739,47.4884,TSFP_U5,20,0,0,0,12,0,0,0,0,186,20,12,194,100,0
May,HADO,Qardho,Rako - TSFP,WFP335,9.78144,49.72944,TSFP_U5,14,0,0,0,158,0,0,0,0,951,14,158,807,100,0
May,Himilo,Kismayo,Dalxiis - Settlement,WFP3376,8.11431,47.16193,TSFP_U5,97,0,0,0,96,4,0,0,0,1134,97,100,1131,96,0
May,SDRO,Gaalkacyo,Sadex higlo - TSFP,WFP342,6.49897,47.1122,TSFP_U5,69,0,0,0,82,0,0,0,0,125,69,82,112,100,0
May,SWISSO-Kalmo,Dhuusamarreeb,Balliad - TSFP,WFP35,5.48048,46.09062,TSFP_U5,31,0,0,0,22,0,0,0,0,191,31,22,200,100,0
May,Mercy USA,Hargeisa,Daraweine - Settlement,WFP3527,9.719863,44.224505,TSFP_U5,48,0,0,0,71,0,4,0,0,356,48,75,329,95,5
May,Mercy USA,Hargeisa,Darasalam - Settlement,WFP3529,7.11742,47.15284,TSFP_U5,115,0,40,0,668,0,0,0,0,990,155,668,477,100,0
May,HRDO,Cadaado,Dayano - Settlement,WFP3586,6.30965,46.67082,TSFP_U5,48,0,0,0,0,0,0,0,0,68,48,0,116,0,0
May,SHARDO,Boondheere,Shibis - TSFP,WFP360,2.037711,45.35,TSFP_U5,442,0,0,0,445,0,0,0,0,2116,442,445,2113,100,0
May,HEAL ,Ceel Afweyn,SHOODHE  - TSFP,WFP361,10.009707,47.367295,TSFP_U5,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0
May,SCF,BeletWeyne,Sigalow - TSFP,WFP363,4.75727,45.18898,TSFP_U5,364,0,0,0,43,0,0,0,0,300,364,43,621,100,0
May,HEAL ,Ceel Afweyn,SINCARO  - TSFP,WFP364,9.47695,47.0754,TSFP_U5,0,0,0,0,0,0,0,0,0,114,0,0,114,0,0
May,WVI,Garoowe,Sin-ujiif - TSFP,WFP365,8.53713,48.9852,TSFP_U5,7,0,0,0,7,0,0,0,0,260,7,7,260,100,0
May,Mercy USA,Cabudwaaq,Dabad - Settlement,WFP3692,6.30619,46.54925,TSFP_U5,24,0,0,0,27,0,0,0,0,362,24,27,359,100,0
May,WRRS,Afmadow,tabta - TSFP,WFP370,0.30463,41.43938,TSFP_U5,8,2,0,0,4,0,2,1,0,50,10,7,53,57,29
May,HRDO,Cadaado,Dhagaxdher - Settlement,WFP3714,5.89619,46.83997,TSFP_U5,34,0,0,0,0,0,0,0,0,68,34,0,102,0,0
May,WVI,Baydhaba/Bardaale,Towfiiq - TSFP,WFP374,3.126929,43.675404,TSFP_U5,77,0,0,0,70,0,0,16,0,191,77,86,182,81,0
May,HADO,Bossaso,Ufeyn - TSFP,WFP378,10.65233,49.75337,TSFP_U5,15,0,0,0,49,0,0,0,0,324,15,49,290,100,0
May,WVI,Waajid,Waajid - TSFP,WFP381,3.80925,43.247089,TSFP_U5,210,62,0,0,309,0,0,0,0,800,272,309,763,100,0
May,WVI,Baydhaba/Bardaale,Wadajir 4 - TSFP,WFP384,3.149063,43.667816,TSFP_U5,70,0,0,0,71,0,0,25,1,229,70,97,202,73,0
May,WVI,Hargeisa,Dhimbiryaale - Settlement,WFP3875,9.272371,44.111165,TSFP_U5,27,0,3,0,15,0,0,0,0,190,30,15,205,100,0
May,HADO,Qandala,Balidhidin - TSFP,WFP39,10.87986,50.39222,TSFP_U5,12,0,0,0,98,0,0,0,0,1000,12,98,914,100,0
May,SHARDO,Balcad/Warsheikh,WARSHEIKH - TSFP,WFP390,2.298294,45.79799,TSFP_U5,295,0,0,0,148,0,0,0,0,0,295,148,147,100,0
May,HPA,Burco,Dhoqoshay - Settlement,WFP3906,8.51362,45.718,TSFP_U5,78,3,0,0,48,0,0,3,0,228,81,51,258,94,0
May,RAAS,Garbahaarey/Buur Dhuubo,Dhubaa - Settlement,WFP3909,3.08896,42.2837,TSFP_U5,0,0,0,0,0,0,0,0,0,204,0,0,204,0,0
May,Mercy USA,Hobyo,Bacadweyn  - TSFP,WFP393,5.32453,47.90805,TSFP_U5,13,0,0,0,16,0,0,0,0,206,13,16,203,100,0
May,SRCS,Awdal,Dilla - Settlement,WFP4025,9.77942,43.3445,TSFP_U5,47,0,0,0,7,0,0,0,0,195,47,7,235,100,0
May,HRDO,Cadaado,Docoley - Settlement,WFP4054,2.57554,45.46053,TSFP_U5,264,0,0,0,0,0,0,0,0,81,264,0,345,0,0
May,WVI,Garoowe,Xamur - TSFP,WFP406,8.72209,48.74333,TSFP_U5,4,0,0,0,4,0,0,0,0,50,4,4,50,100,0
May,Mercy USA,Cabudwaaq,Herale - TSFP,WFP413,6.02351,45.96333,TSFP_U5,29,0,0,0,27,0,0,0,0,466,29,27,468,100,0
May,DEH,Hobyo,Xinbarwaqo - TSFP,WFP417,5.1152,48.34835,TSFP_U5,32,0,0,0,29,0,0,1,2,256,32,32,256,91,0
May,RAWA,Xarardheere,Dumaye - TSFP,WFP420,4.87728,47.61589,TSFP_U5,209,0,0,0,36,0,4,5,2,375,209,47,537,77,9
May,HADO,Iskushuban,Xiriiro - TSFP,WFP422,9.97824,50.25085,TSFP_U5,13,0,0,0,59,0,0,0,0,522,13,59,476,100,0
May,HPA,Burco,Duruqsi - Settlement,WFP4251,8.517696,45.461471,TSFP_U5,36,0,0,0,142,0,9,9,6,1355,36,166,1225,86,5
May,WVI,Burtinle,Bahaley - TSFP,WFP434,7.60802,47.50677,TSFP_U5,12,0,0,0,22,0,1,0,0,19,12,23,8,96,4
May,WVI,Baki,Baki - TSFP,WFP435,10.2736,43.48375,TSFP_U5,75,0,4,0,52,0,0,2,0,480,79,54,505,96,0
May,HIDIG,Ceel Barde,Ahmed Korey - TSFP,WFP436,4.88194,44.24083,TSFP_U5,24,0,16,0,10,0,4,6,4,195,40,24,211,42,17
May,WRRS,Afmadow,Afmadow - TSFP,WFP437,0.51486,42.073009,TSFP_U5,10,2,0,0,15,0,3,0,0,496,12,18,490,83,17
May,SHARDO,Balcad/Warsheikh,BALCAD - TSFP,WFP438,2.649542,45.049142,TSFP_U5,342,0,0,0,897,0,0,0,0,868,342,897,313,100,0
May,SWISSO-Kalmo,Dhuusamarreeb,Eldhere - Part of town,WFP4413,5.53425,46.38446,TSFP_U5,29,0,0,0,25,0,0,0,0,239,29,25,243,100,0
May,WVI,Luuq,Ban-Mudule - TSFP,WFP45,3.75773,42.55694,TSFP_U5,6,0,2,0,13,0,0,2,0,75,8,15,68,87,0
May,WVI,Hargeisa,Farwayne - Settlement,WFP4522,9.33158,43.67031,TSFP_U5,58,0,2,0,59,0,0,0,0,440,60,59,441,100,0
May,Himilo,Kismayo,Farjano - Settlement,WFP4532,7.5654,47.79142,TSFP_U5,72,0,0,0,78,0,0,1,0,1127,72,79,1120,99,0
May,SWISSO-Kalmo,Dhuusamarreeb,Dhusamareb town - MCHN,WFP47,5.537643,46.386698,TSFP_U5,103,0,0,0,116,0,0,0,0,849,103,116,836,100,0
May,Mercy USA,Hobyo,Galbarwaqo - Settlement,WFP4757,6.127836,47.678698,TSFP_U5,20,0,0,0,15,0,0,0,0,107,20,15,112,100,0
May,HEAL ,Hargeisa,ABAARSO  - Settlement,WFP479,9.602462,43.880653,TSFP_U5,21,0,0,0,18,0,0,0,0,406,21,18,409,100,0
May,SDRO,Gaalkacyo,Bandiradley - TSFP,WFP48,6.47979,46.945358,TSFP_U5,113,0,0,0,134,0,0,0,0,213,113,134,192,100,0
May,HEAL ,Ceel Afweyn,GAR-ADAG - Settlement,WFP4876,9.487011,46.866926,TSFP_U5,23,0,0,0,10,0,0,0,0,635,23,10,648,100,0
May,GEWDO,Garbahaarey/Buur Dhuubo,Garbaharey - Regional Capital,WFP4990,3.328,42.219879,TSFP_U5,129,0,0,0,0,0,0,0,0,32,129,0,161,0,0
May,SWISSO-kalmo,Afgooye,Afgooye - TSFP,WFP5,2.14158,45.118698,TSFP_U5,682,739,0,0,774,0,0,0,0,1741,1421,774,2388,100,0
May,WVI,Lughaye,Gargaara - Settlement,WFP5018,10.313044,43.805888,TSFP_U5,90,0,2,0,82,0,0,2,3,711,92,87,716,94,0
May,SCI,Garoowe,Garowe - Regional Capital,WFP5035,8.40635,48.48188,TSFP_U5,253,0,0,0,203,0,2,0,0,1224,253,205,1272,99,1
May,WVI,Gebiley,Gabiley - District Capital,WFP5090,9.70577,43.62497,TSFP_U5,51,0,0,0,45,0,0,0,0,609,51,45,615,100,0
May,WVI,Lughaye,Geerisa - Settlement,WFP5143,10.60353,43.43364,TSFP_U5,27,0,0,0,27,0,0,1,0,275,27,28,274,96,0
May,HRDO,Cadaado,Gidheys - Settlement,WFP5193,9.949355,45.460399,TSFP_U5,263,0,0,0,0,0,0,0,0,67,263,0,330,0,0
May,HIDIG,Ceel Barde,Abesale - Settlement,WFP526,4.90445,44.5206,TSFP_U5,31,1,18,0,10,0,3,2,3,115,50,18,147,56,17
May,WVI,Dan Gorayo,Baqbaq - TSFP,WFP54,7.82861,49.488331,TSFP_U5,23,0,0,0,21,0,1,1,0,120,23,23,120,91,4
May,WVI,Doolow,Gubatta - Settlement,WFP5422,4.1345,42.21043,TSFP_U5,0,0,0,0,16,0,0,0,0,57,0,16,41,100,0
May,Mercy USA,Cabudwaaq,Abudwaq  - Settlement,WFP556,6.24187,46.22592,TSFP_U5,44,0,0,0,28,0,0,0,0,638,44,28,654,100,0
May,HADO,Caluula,Bareeda - TSFP,WFP56,11.8702,51.05796,TSFP_U5,10,0,0,0,116,0,0,0,0,851,10,116,745,100,0
May,SCF,BeletWeyne,Hawotako - Settlement,WFP5766,4.742113,45.214151,TSFP_U5,751,0,0,0,67,0,0,0,0,500,751,67,1184,100,0
May,RAAS,Garbahaarey/Buur Dhuubo,Hillamarer - Settlement,WFP5803,3.22728,42.49406,TSFP_U5,0,0,0,0,0,0,0,0,0,162,0,0,162,0,0
May,EPHCO,Ceel Barde,Hiirey  - Settlement,WFP5845,4.80724,43.712,TSFP_U5,185,0,0,0,297,1,0,1,0,401,185,299,287,99,0
May,WVI,Eyl,Badey - TSFP,WFP59,7.98566,49.83521,TSFP_U5,57,0,0,0,48,0,2,0,0,321,57,50,328,96,4
May,SCI,Borama,IDHANKA - Settlement,WFP6002,9.69256,43.30208,TSFP_U5,1,1,7,0,23,0,0,0,0,436,9,23,422,100,0
May,HRDO,Cadaado,Iidoole - Settlement,WFP6018,6.17485,46.84643,TSFP_U5,237,0,0,0,0,0,0,0,0,67,237,0,304,0,0
May,WVI,Eyl,Kabal - Settlement,WFP6446,8.44579,50.24351,TSFP_U5,7,0,0,0,4,0,1,0,0,58,7,5,60,80,20
May,SCODO,Lasanod,Kalabaydh Lasanod - Settlement,WFP6482,8.242749,47.22691,TSFP_U5,34,0,0,0,34,0,0,0,0,342,34,34,342,100,0
May,Mercy USA,Hobyo,Kalabeyr - Settlement,WFP6495,4.92629,45.21723,TSFP_U5,13,0,0,0,10,0,0,0,0,150,13,10,153,100,0
May,WVI,Garoowe,B.dheer - TSFP,WFP67,8.25639,48.305828,TSFP_U5,5,0,0,0,5,0,0,0,0,35,5,5,35,100,0
May,WVI,Baydhaba/Bardaale,Kormeri - Settlement,WFP6715,3.1508,43.216412,TSFP_U5,95,0,0,0,69,0,0,22,5,254,95,96,253,72,0
May,SRCS,Ceerigaabo,kulmiye - Settlement,WFP6774,3.09322,43.05594,TSFP_U5,27,0,1,0,189,0,0,0,0,370,28,189,209,100,0
May,HEAL ,Ceel Afweyn,Bixinka  - TSFP,WFP69,10.113809,47.086639,TSFP_U5,0,0,0,0,0,0,0,0,0,103,0,0,103,0,0
May,Mercy USA,Lasanod,Lasanod - Regional Capital,WFP6912,8.473575,47.354409,TSFP_U5,29,0,0,0,16,0,0,0,0,454,29,16,467,100,0
May,WVI,Lughaye,Lughaye - District Capital,WFP7165,10.682525,43.943153,TSFP_U5,57,0,0,0,0,0,0,0,0,320,57,0,377,0,0
May,WVI,Luuq,Luq Godey - Part of town,WFP7184,3.79704,42.55408,TSFP_U5,7,0,0,0,24,0,0,0,0,55,7,24,38,100,0
May,SWISSO-Kalmo,Dhuusamarreeb,Bohol - TSFP,WFP72,5.74731,46.22785,TSFP_U5,20,0,0,0,42,0,0,0,0,147,20,42,125,100,0
May,SCI,Daynile,Malable - Settlement,WFP7385,3.03813,43.43877,TSFP_U5,1424,84,1,0,68,3,4,0,22,1063,1509,97,2475,70,4
May,HRDO,Cadaado,Marsamage - Settlement,WFP7516,5.76868,47.26299,TSFP_U5,52,0,0,0,0,0,0,0,0,54,52,0,106,0,0
May,HEAL ,Ceerigaabo,MAYDH  - Settlement,WFP7577,10.988259,47.109128,TSFP_U5,13,0,0,0,12,0,0,0,0,614,13,12,615,100,0
May,Mercy USA,Hobyo,Hobyo town  - TSFP,WFP77,5.34743,48.5262,TSFP_U5,37,0,0,0,32,0,0,0,0,715,37,32,720,100,0
May,SDRA,Gaalkacyo,Mustaqbal - Settlement,WFP7863,1.5655,44.20223,TSFP_U5,74,0,0,0,142,0,0,0,0,656,74,142,588,100,0
May,SCF,Mataban,Omad - Settlement,WFP7974,5.00533,45.47373,TSFP_U5,184,0,0,0,45,0,0,0,0,301,184,45,440,100,0
May,SRCS,Burco,OOG - Settlement,WFP7990,8.934069,46.617513,TSFP_U5,119,0,0,0,35,0,0,0,0,218,119,35,302,100,0
May,WVI,Luuq,Airport Area - TSFP,WFP8,3.806398,42.547561,TSFP_U5,21,10,3,0,54,0,0,3,0,312,34,57,289,95,0
May,WVI,Doolow,Qansaxley - Settlement,WFP8123,2.58504,45.00872,TSFP_U5,0,3,0,0,53,1,0,12,0,406,3,66,343,80,0
May,SDRO,Gaalkacyo,Qarqoora  - Settlement,WFP8152,6.74718,47.69378,TSFP_U5,6,0,0,0,8,0,0,0,0,35,6,8,33,100,0
May,SRCS,Burco,qorilugud - Settlement,WFP8245,8.552813,46.223893,TSFP_U5,56,0,0,0,10,0,5,0,0,141,56,15,182,67,33
May,HPA,Burco,Qoryaale - Settlement,WFP8254,3.26912,45.69738,TSFP_U5,72,13,0,0,172,0,0,2,0,436,85,174,347,99,0
May,SCI,Borama,QULJEED - Settlement,WFP8291,10.09149,43.00922,TSFP_U5,77,1,99,0,5,0,0,0,0,493,177,5,665,100,0
May,WVI,Dan Gorayo,Qundhed - Settlement,WFP8300,8.89492,50.44462,TSFP_U5,12,0,0,0,11,0,1,0,0,80,12,12,80,92,8
