period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
April,HADO,Qardho,Qardho - TSFP,WFP320,9.50694,49.086079,TSFP_U5,8,0,0,0,341,0,0,0,0,3500,8,341,3167,100,0,0
April,WVI,Eyl,Qarxis - TSFP,WFP323,7.98389,48.10305,TSFP_U5,59,0,0,0,55,0,0,0,0,82,59,55,86,100,0,0
April,Mercy USA,Hobyo,Qeydaro - TSFP,WFP326,5.78739,47.4884,TSFP_U5,21,0,0,0,26,0,0,0,0,186,21,26,181,100,0,0
April,Mercy USA,Laas Caanood,QORILEY - TSFP,WFP330,8.003256,47.562959,TSFP_U5,0,0,0,0,0,0,0,0,0,44,0,0,44,0,0,0
April,WVI,Garowe,Rabable - TSFP,WFP334,8.28125,48.29833,TSFP_U5,4,0,0,0,4,0,0,0,0,35,4,4,35,100,0,0
April,HADO,Qardho,Rako - TSFP,WFP335,9.78144,49.72944,TSFP_U5,30,0,0,0,45,0,0,0,0,351,30,45,336,100,0,0
April,WVI,Garowe,Reemanti - TSFP,WFP336,8.40861,48.481392,TSFP_U5,88,0,0,0,13,0,0,0,0,85,88,13,160,100,0,0
April,HIMILO,Kismayu,Dalxiis - Settlement,WFP3376,8.11431,47.16193,TSFP_U5,139,0,0,0,0,0,0,0,1,1046,139,1,1184,0,0,1
April,WVI,Doolow,Seydhumay - TSFP,WFP339,4.1276,42.25621,TSFP_U5,126,0,0,0,34,0,0,0,0,119,126,34,211,100,0,0
April,WVI,Hargeysa,Dacarudhug - Settlement,WFP3403,9.85648,44.527473,TSFP_U5,365,0,0,0,55,0,3,2,0,360,365,60,665,92,5,0
April,SDRO,Gaalkacyo,Sadex higlo - TSFP,WFP342,6.49897,47.1122,TSFP_U5,13,0,0,0,12,0,0,0,0,124,13,12,125,100,0,0
April,Mercy USA,Laas Caanood,Sahadheer  - TSFP,WFP344,8.00224,47.10488,TSFP_U5,44,0,0,0,0,0,0,0,0,0,44,0,44,0,0,0
April,Mercy USA,Buuhoodle,Sarmaantuke - TSFP,WFP347,8.32738,46.48082,TSFP_U5,4,0,0,0,0,0,0,0,0,55,4,0,59,0,0,0
April,Mercy USA,Laas Caanood,Sarmaanyo - MCHN,WFP348,9.48895,47.99372,TSFP_U5,4,0,0,0,0,0,0,0,0,81,4,0,85,0,0,0
April,SWISSO-kalmo,Dhuusamarreeb,Balliad - TSFP,WFP35,5.48048,46.09062,TSFP_U5,31,0,0,0,24,0,0,0,0,184,31,24,191,100,0,0
April,Mercy USA,Hargeisa  ,Daraweine - Settlement,WFP3527,9.719863,44.224505,TSFP_U5,50,0,125,0,0,0,64,0,0,310,175,64,421,0,100,0
April,Mercy USA,Hargeisa  ,Darasalam - Settlement,WFP3528,9.84075,44.01367,TSFP_U5,74,0,157,0,0,0,131,0,0,235,231,131,335,0,100,0
