district_id,count_district_id,count_grouped_activity,targeted,reached,percent_target
R1720070,2,2,3466,4083,118
R1720079,2,2,2000,548,27
R1720131,1,1,600,478,80
R1720137,1,1,400,50,13
R1720141,0,0,2800,3162,237
