X,Y,osm_id,name,name_en,is_in_coun,is_in_stat,cartodb_id,created_at,updated_at,awd_wk1_wk13_district_cumulative_district,awd_wk1_wk13_district_cumulative_live,awd_wk1_wk13_district_cumulative_dead,awd_wk1_wk13_district_cumulative_cfr
42.800214387456,0.122493529305686,R1720114,Jamaame,None,R192799,R1720059,17,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
42.0076196906379,-0.382741519635955,R1720118,Kismayo,None,R192799,R1720059,21,2015/03/21 12:46:20,2015/03/21 12:46:20,Kismaayo,653,6,0.9
45.6098334809432,3.40120153615673,R1720113,Jalalaqsi,None,R192799,R1720058,16,2015/03/21 12:46:20,2015/03/21 12:46:20,Jalalaqsi,21,1,4.8
43.5196118174244,1.38154160193083,R1720133,Sablaale,None,R192799,R1720060,36,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
44.5281158267181,3.83443849134343,R1720136,Tayeeglow,None,R192799,R1720052,39,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
41.4285640674618,-0.855469001553531,R1720073,Badhaadhe,None,R192799,R1720059,50,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
47.1503993724945,4.00673311593461,R1720098,Ceel Dheer,None,R192799,R1720056,1,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
47.7526087384066,10.3778868881333,R1720099,Ceerigaabo,None,R192799,R1720065,2,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
46.6830501951637,5.43977873108341,R1720100,Dhuusamarreeb,None,R192799,R1720056,3,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
42.9009757816137,2.1003678558727,R1720101,Diinsoor,None,R192799,R1720055,4,2015/03/21 12:46:20,2015/03/21 12:46:20,Diinsoor,73,0,0
42.1395343027591,4.0016256590034,R1720102,Doolow,None,R192799,R1720057,5,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
41.4407575314807,2.67882078912388,R1720103,El Waq,None,R192799,R1720057,6,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
49.6577422916788,8.03749283335239,R1720104,Eyl,None,R192799,R1720064,7,2015/03/21 12:46:20,2015/03/21 12:46:20,Eyl,34,0,0
43.6830917181062,9.86359879193011,R1720105,Gabiley,None,R192799,R1720068,8,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
47.2205136063415,7.03760338500193,R1720106,Galdogob,None,R192799,R1720063,9,2015/03/21 12:46:20,2015/03/21 12:46:20,Galdogob,32,2,6.3
47.6867332530476,6.93396643890669,R1720107,Galkaacyo,None,R192799,R1720063,10,2015/03/21 12:46:20,2015/03/21 12:46:20,Gaalkacyo,158,2,1.3
42.3582187710112,3.20444131037695,R1720108,Garbahaarey,None,R192799,R1720057,11,2015/03/21 12:46:20,2015/03/21 12:46:20,Garbahaarey,963,13,2.9
48.7853421726729,8.46933007395925,R1720109,Garowe,None,R192799,R1720064,12,2015/03/21 12:46:20,2015/03/21 12:46:20,Garoowe,786,24,3.1
44.2803055111614,9.52369138389537,R1720110,Hargeysa,None,R192799,R1720068,13,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
42.061841205648,1.6269270320984,R1720132,Saakow,None,R192799,R1720061,35,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
48.2997504087002,5.94067511999492,R1720111,Hobyo,None,R192799,R1720063,14,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
50.6427081524215,10.5681124108695,R1720112,Iskushuban,None,R192799,R1720054,15,2015/03/21 12:46:20,2015/03/21 12:46:20,Iskushuban,3,0,0
49.0721689583112,7.13176669641439,R1720115,Jariiban,None,R192799,R1720063,18,2015/03/21 12:46:20,2015/03/21 12:46:20,Jariiban,22,0,0
43.1278173665092,0.603660063086524,R1720116,Jilib,None,R192799,R1720061,19,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
45.5671089709467,2.9917949450064,R1720117,Jowhar,None,R192799,R1720062,20,2015/03/21 12:46:20,2015/03/21 12:46:20,Jowhar,930,13,3.2
44.0660101920226,1.67291164225346,R1720119,Kurtunwaarey,None,R192799,R1720060,22,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
47.6356766727143,8.43750501009693,R1720120,Laas Caanood,None,R192799,R1720066,23,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
48.6480325841724,10.6596449940404,R1720121,Laasqoray,None,R192799,R1720065,24,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
43.6841030642346,10.7010513571625,R1720122,Lughaye,None,R192799,R1720051,25,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
43.4319219200426,3.81494863200337,R1720137,Waajid,None,R192799,R1720052,40,2015/03/21 12:46:20,2015/03/21 12:46:20,Waajid,1995,112,10.8
42.6966390321137,3.79185059597653,R1720123,Luuq,None,R192799,R1720057,26,2015/03/21 12:46:20,2015/03/21 12:46:20,Luuq,661,21,3.3
44.8119734294128,1.6806833107276,R1720124,Marka,None,R192799,R1720060,27,2015/03/21 12:46:20,2015/03/21 12:46:20,Marka,1124,17,23.4
45.4811486469781,2.0255836853012,R1720125,Mogadishu,None,R192799,R1720053,28,2015/03/21 12:46:20,2015/03/21 12:46:20,Banadir,2026,45,2.2
45.0100794925058,9.25812745228212,R1720126,Owdweyne,None,R192799,R1720067,29,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
50.0571473237508,11.1698302228117,R1720127,Qandala,None,R192799,R1720054,30,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
