district_id,count_district_id,count_grouped_activity,targeted,reached,percent_target
R1720071,1,1,2580,3804,147
R1720079,0,0,115750,134678,455
R1720093,1,1,660,1080,164
R1720107,1,1,14000,19810,142
R1720131,1,1,2100,4189,199
