district_id,count_district_id,count_grouped_activity,targeted,reached,percent_target
R1720074,0,0,31822,32000,202
R1720075,0,0,17610,19380,304
R1720079,0,0,17760,9867,111
R1720080,0,0,145401,108888.5,237
R1720086,0,0,18816,18816,200
R1720099,0,0,42831,3090,11
R1720103,0,0,96206,99179.5,204
R1720104,0,0,5600,5598,200
R1720107,1,1,14000,19810,142
R1720109,2,2,4452,8370,188
R1720110,0,0,4710,5100,223
R1720129,1,1,2334,1905,82
R1720131,0,0,12000,10200,170
R1720137,0,0,11200,10400,186
