district,district_id,live,dead,cfr
Afgooye,R1720070,580,0,0
Baardheere,R1720072,1139,10,0.9
Berdale,R1720074,12986,182,4
Balcad,R1720076,451,2,0.4
Belet weyne,R1720079,302,2,0.7
Bossaso,R1720083,517,5,1
Bulo Burto,R1720085,10,0,0
Burtinle,R1720087,580,6,1
Buuhoodle,R1720088,3393,69,2
Buur Hakaba,R1720089,908,24,2.6
Cabudwaaq,R1720090,1501,11,0.7
Cadaado,R1720091,669,7,1
Dhahar,R1720095,489,12,2.5
Ceel barde,R1720096,290,8,2.8
Ceel Dheer,R1720098,50,0,0
Dhuusamarreeb,R1720100,696,3,0.4
Diinsoor,R1720101,425,1,0.2
Doolow,R1720102,616,0,0
Eyl,R1720104,74,0,0
Galdogob,R1720106,213,5,2.3
Gaalkacyo,R1720107,667,2,0.3
Burdhubo,R1720108,1611,14,1.7
Dangorayo,R1720109,1157,24,2.1
Jalalaqsi,R1720113,21,1,4.8
Jariiban,R1720115,155,1,0.6
Jowhar,R1720117,1570,20,1.3
Kismaayo,R1720118,1819,12,0.7
Kurtunwaarey,R1720119,160,0,0
Luuq,R1720123,1917,29,1.5
Marka,R1720124,1948,29,1.5
Banadir,R1720125,4634,89,1.9
Qansax Dheere,R1720128,488,7,1.4
Qardho,R1720129,558,5,0.9
Qoryooley,R1720130,857,13,1.5
Taleex,R1720135,315,6,1.9
Tayeeglow,R1720136,205,17,8.3
Waajid,R1720137,2309,113,4.9
Wanla weyn,R1720138,1380,16,1.2
Xudur,R1720141,895,18,2
Heliwa,R1720148,52,0,0
