region_name,region_osm_id,district_name,district_osm_id,pop_2,pop_3,pop_4,pop_3_4,ipc_3_4,ipc_4_eme,ipc_3_cri,ipc_2_str,population
Shabelle Hoose,R1720060,Afgooye,R1720070,0.22,0.23,0.07,0.3,116000,26000,90000,87000,392698
Shabelle Hoose,R1720060,Baraawe,R1720078,0.22,0.23,0.07,0.3,116000,26000,90000,87000,392698
Shabelle Hoose,R1720060,Kurtunwaarey,R1720119,0.22,0.23,0.07,0.3,116000,26000,90000,87000,392698
Shabelle Hoose,R1720060,Marka,R1720124,0.22,0.23,0.07,0.3,116000,26000,90000,87000,392698
Shabelle Hoose,R1720060,Qoryooley,R1720130,0.22,0.23,0.07,0.3,116000,26000,90000,87000,392698
Shabelle Hoose,R1720060,Sablaale,R1720133,0.22,0.23,0.07,0.3,116000,26000,90000,87000,392698
Shabelle Hoose,R1720060,Wanla Weyn,R1720138,0.22,0.23,0.07,0.3,116000,26000,90000,87000,392698
Sool,R1720066,Caynabo,R1720094,0.3,0.15,0.1,0.25,138000,54000,84000,163000,544123
Sool,R1720066,Laas Caanood,R1720120,0.3,0.15,0.1,0.25,138000,54000,84000,163000,544123
Sool,R1720066,Taleex,R1720135,0.3,0.15,0.1,0.25,138000,54000,84000,163000,544123
Sool,R1720066,Xudun,R1720140,0.3,0.15,0.1,0.25,138000,54000,84000,163000,544123
Togdheer,R1720067,Burco,R1720086,0.29,0.2,0.11,0.31,101000,36000,65000,94000,327427
Togdheer,R1720067,Buuhoodle,R1720088,0.29,0.2,0.11,0.31,101000,36000,65000,94000,327427
Togdheer,R1720067,Owdweyne,R1720126,0.29,0.2,0.11,0.31,101000,36000,65000,94000,327427
Togdheer,R1720067,Sheikh,R1720134,0.29,0.2,0.11,0.31,101000,36000,65000,94000,327427
Woqooyi Galbeed,R1720068,Berbera,R1720081,0.35,0.09,0.01,0.1,123000,8000,115000,438000,1242003
Woqooyi Galbeed,R1720068,Gebiley,R1720105,0.35,0.09,0.01,0.1,123000,8000,115000,438000,1242003
Woqooyi Galbeed,R1720068,Hargeysa,R1720110,0.35,0.09,0.01,0.1,123000,8000,115000,438000,1242003
