Indicator,Region,RegionID,District,DistrictID,Date,Value,period
Sorghum,Awdal,R1720051,Borama,R1720082,10/1/2016,3500,October 2016
Sorghum,Awdal,R1720051,Baki,R1720075,10/1/2016,0,October 2016
Sorghum,Awdal,R1720051,Lughaye,R1720122,10/1/2016,0,October 2016
Sorghum,Awdal,R1720051,Zeylac,R1720142,10/1/2016,6000,October 2016
Sorghum,Woqooyi Galbeed,R1720068,Hargeysa,R1720110,10/1/2016,4000,October 2016
Sorghum,Woqooyi Galbeed,R1720068,Berbera,R1720081,10/1/2016,0,October 2016
Sorghum,Woqooyi Galbeed,R1720068,Gebiley,R1720105,10/1/2016,3600,October 2016
Sorghum,Togdheer,R1720067,Burco,R1720086,10/1/2016,4500,October 2016
Sorghum,Togdheer,R1720067,Buuhoodle,R1720088,10/1/2016,0,October 2016
Sorghum,Togdheer,R1720067,Owdweyne,R1720126,10/1/2016,0,October 2016
Sorghum,Togdheer,R1720067,Sheikh,R1720134,10/1/2016,0,October 2016
Sorghum,Sool,R1720066,Laas Caanood,R1720120,10/1/2016,0,October 2016
Sorghum,Sool,R1720066,Caynabo,R1720094,10/1/2016,0,October 2016
Sorghum,Sool,R1720066,Taleex,R1720135,10/1/2016,0,October 2016
Sorghum,Sool,R1720066,Xudun,R1720140,10/1/2016,0,October 2016
Sorghum,Sanaag,R1720065,Ceerigaabo,R1720099,10/1/2016,0,October 2016
Sorghum,Sanaag,R1720065,Ceel Afweyn,R1720095,10/1/2016,0,October 2016
Sorghum,Sanaag,R1720065,Laasqoray,R1720121,10/1/2016,0,October 2016
Sorghum,Bari,R1720054,Bossaso,R1720083,10/1/2016,22000,October 2016
Sorghum,Bari,R1720054,Bandarbeyla,R1720077,10/1/2016,0,October 2016
Sorghum,Bari,R1720054,Caluula,R1720093,10/1/2016,0,October 2016
Sorghum,Bari,R1720054,Iskushuban,R1720112,10/1/2016,0,October 2016
Sorghum,Bari,R1720054,Qandala,R1720127,10/1/2016,0,October 2016
Sorghum,Bari,R1720054,Qardho,R1720129,10/1/2016,0,October 2016
Sorghum,Nugaal,R1720064,Garoowe,R1720109,10/1/2016,26000,October 2016
Sorghum,Nugaal,R1720064,Burtinle,R1720087,10/1/2016,0,October 2016
Sorghum,Nugaal,R1720064,Eyl,R1720104,10/1/2016,0,October 2016
Sorghum,Mudug,R1720063,Gaalkacyo,R1720107,10/1/2016,12000,October 2016
Sorghum,Mudug,R1720063,Galdogob,R1720106,10/1/2016,0,October 2016
Sorghum,Mudug,R1720063,Hobyo,R1720111,10/1/2016,0,October 2016
Sorghum,Mudug,R1720063,Jariiban,R1720115,10/1/2016,0,October 2016
