Indicator,Region,RegionID,District,DistrictID,Date,Value,period
ToT (wage to cereal),Awdal,R1720051,Borama,R1720082,10/1/2016,12,October 2016
ToT (wage to cereal),Awdal,R1720051,Baki,R1720075,10/1/2016,0,October 2016
ToT (wage to cereal),Awdal,R1720051,Lughaye,R1720122,10/1/2016,0,October 2016
ToT (wage to cereal),Awdal,R1720051,Zeylac,R1720142,10/1/2016,11,October 2016
ToT (wage to cereal),Woqooyi Galbeed,R1720068,Hargeysa,R1720110,10/1/2016,10,October 2016
ToT (wage to cereal),Woqooyi Galbeed,R1720068,Berbera,R1720081,10/1/2016,0,October 2016
ToT (wage to cereal),Woqooyi Galbeed,R1720068,Gebiley,R1720105,10/1/2016,14,October 2016
ToT (wage to cereal),Togdheer,R1720067,Burco,R1720086,10/1/2016,8,October 2016
ToT (wage to cereal),Togdheer,R1720067,Buuhoodle,R1720088,10/1/2016,0,October 2016
ToT (wage to cereal),Togdheer,R1720067,Owdweyne,R1720126,10/1/2016,0,October 2016
ToT (wage to cereal),Togdheer,R1720067,Sheikh,R1720134,10/1/2016,0,October 2016
ToT (wage to cereal),Sool,R1720066,Laas Caanood,R1720120,10/1/2016,10,October 2016
ToT (wage to cereal),Sool,R1720066,Caynabo,R1720094,10/1/2016,0,October 2016
ToT (wage to cereal),Sool,R1720066,Taleex,R1720135,10/1/2016,0,October 2016
ToT (wage to cereal),Sool,R1720066,Xudun,R1720140,10/1/2016,0,October 2016
ToT (wage to cereal),Sanaag,R1720065,Ceerigaabo,R1720099,10/1/2016,8,October 2016
ToT (wage to cereal),Sanaag,R1720065,Ceel Afweyn,R1720095,10/1/2016,0,October 2016
ToT (wage to cereal),Sanaag,R1720065,Laasqoray,R1720121,10/1/2016,0,October 2016
ToT (wage to cereal),Bari,R1720054,Bossaso,R1720083,10/1/2016,8,October 2016
ToT (wage to cereal),Bari,R1720054,Bandarbeyla,R1720077,10/1/2016,7,October 2016
ToT (wage to cereal),Bari,R1720054,Caluula,R1720093,10/1/2016,10,October 2016
