district_id,district,live,dead,cfr
R1720070,Afgooye,651,0,0
R1720072,Baardheere,1170,10,0.8
R1720074,Baidoa,13088,182,1.4
R1720076,Balcad,451,2,0.4
R1720079,Belet weyne,312,2,0.6
R1720083,Bossaso,583,5,0.9
R1720085,Bulo Burto,10,0,0
R1720087,Burtinle,785,6,0.8
R1720088,Buuhoodle,3601,69,1.9
R1720089,Buur Hakaba,908,24,2.6
R1720090,Cabudwaaq,1717,11,0.6
R1720091,Cadaado,769,7,0.9
R1720095,Dhahar,712,14,1.9
R1720096,Ceel Barde,326,8,2.4
R1720098,Ceel Dheer,74,0,0
R1720100,Dhuusamarreeb,902,3,0.3
R1720101,Diinsoor,425,1,0.2
R1720102,Doolow,696,0,0
R1720104,Eyl,74,0,0
R1720106,Galdogob,349,6,1.7
R1720107,Gaalkacyo,965,9,0.9
R1720108,Garbahaarey,1679,14,0.8
R1720109,Dangorayo,1315,24,1.8
R1720112,Ufayn,1,0,0
R1720113,Jalalaqsi,21,1,4.5
R1720115,Jariiban,275,1,0.4
R1720117,Jowhar,1678,20,1.2
R1720118,Kismaayo,2127,15,0.7
R1720119,Kurtunwaarey,175,0,0
R1720120,Bo'ame,51,0,0
R1720123,Luuq,1978,29,1.4
R1720124,Marka,2095,31,1.5
R1720125,Banadir,5376,102,1.9
R1720128,Qansax Dheere,488,7,1.4
R1720129,Qardho,828,5,0.6
R1720130,Qoryooley,924,13,1.4
R1720135,Taleex,485,7,1.4
R1720136,Tayeeglow,236,17,6.7
R1720137,Waajid,2309,113,4.7
R1720138,Wanla weyn,1434,17,1.2
R1720141,Xudur,915,18,1.9
R1720148,Heliwa,107,2,1.8
