period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
February,SDO,Jariiban,JARIIBAN - District Capital,WFP6285,7.21345,48.85104,TSFP_PLW,89,0,0,0,71,0,0,0,0,145,89,71,163,100,0
February,WVI,Eyl,Kabal - Settlement,WFP6446,8.44579,50.24351,TSFP_PLW,17,0,0,0,17,0,0,0,0,60,17,17,60,100,0
February,HEAL ,Hargeisa,AGABAR - Settlement,WFP646,9.92502,43.9194,TSFP_PLW,6,0,0,0,8,0,1,1,0,26,6,10,22,80,10
February,SCODO,Laas Caanood,Kalabaydh Lasanod - Settlement,WFP6482,8.242749,47.22691,TSFP_PLW,19,0,0,0,8,0,0,0,0,88,19,8,99,100,0
February,WVI,Gebiley,Kalabayidhi - Settlement,WFP6492,9.68069,43.47742,TSFP_PLW,9,0,0,0,1,0,0,0,0,73,9,1,81,100,0
February,WVI,Garoowe,B.dheer - TSFP,WFP67,8.25639,48.305828,TSFP_PLW,26,0,0,0,8,0,0,0,0,8,26,8,26,100,0
February,WVI,Baidoa,Kormeri - Settlement,WFP6715,3.158,43.216412,TSFP_PLW,20,0,0,0,10,0,0,0,0,50,20,10,60,100,0
February,SRCS,Ceerigaabo,kulmiye - Settlement,WFP6774,3.09322,43.05594,TSFP_PLW,12,0,0,0,8,0,0,0,0,60,12,8,64,100,0
February,Mercy USA,Laas Caanood,Lasanod - Regional Capital,WFP6912,8.473575,47.35449,TSFP_PLW,27,0,0,0,0,0,0,0,0,96,27,0,123,0,0
February,DHO,Diinsoor,Lama warood - Settlement,WFP7022,2.51773,42.9721,TSFP_PLW,50,0,0,0,0,0,0,0,0,92,50,0,142,0,0
February,WVI,Lughaye,Lughaye - District Capital,WFP7165,10.682525,43.943153,TSFP_PLW,30,0,0,0,33,0,4,4,0,89,30,41,78,80,10
February,WVI,Luuq,Luq Godey - Part of town,WFP7184,3.79704,42.55408,TSFP_PLW,10,0,0,0,2,0,0,0,0,175,10,2,183,100,0
February,SWISSO-kalmo,Dhuusamarreeb,Bohol - TSFP,WFP72,5.74731,46.22785,TSFP_PLW,69,0,0,0,0,0,0,0,0,130,69,0,199,0,0
February,RAAS,Garbahaarey,Malkadida - Settlement,WFP7401,3.339,42.47833,TSFP_PLW,13,0,0,0,2,0,0,0,0,90,13,2,101,100,0
February,Mercy USA,Laas Caanood,Bocame - MCHN,WFP75,8.396344,47.935664,TSFP_PLW,18,0,0,0,0,0,0,0,0,25,18,0,43,0,0
February,HEAL ,Ceerigaabo,MAYDH  - Settlement,WFP7577,1.988259,47.19128,TSFP_PLW,0,0,0,0,0,6,0,0,0,10,0,6,4,0,0
February,Mercy USA,Hobyo,Hobyo town  - TSFP,WFP77,5.34743,48.5262,TSFP_PLW,9,0,0,0,5,0,0,0,0,28,9,5,32,100,0
February,WOCCA,Mahaday,Mogadishu - National Capital,WFP7702,2.04139,45.333721,TSFP_PLW,7,0,0,0,10,0,0,0,0,99,7,10,96,100,0
February,SDRA,Gaalkacyo,Mustaqbal - Settlement,WFP7863,1.5655,44.20223,TSFP_PLW,7,0,0,0,0,0,0,0,0,50,7,0,57,0,0
February,SWISSO-kalmo,Dhuusamarreeb,Olol - Settlement,WFP7971,5.92195,46.23917,TSFP_PLW,30,0,0,0,0,0,0,0,0,236,30,0,266,0,0
